# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
44389, 304, 299
44390, 304, 299
44391, 304, 299
44393, 304, 298
44394, 304, 299
44395, 304, 299
44397, 305, 299
44398, 305, 299
44401, 306, 299
44402, 306, 299
44403, 306, 299
44405, 307, 300
44406, 307, 300
44407, 307, 300
44409, 308, 300
44410, 307, 300
44411, 307, 300
44412, 309, 300
44413, 309, 300
44414, 309, 300
44415, 309, 300
44421, 310, 300
44422, 310, 300
44423, 310, 300
44433, 312, 299
44434, 312, 299
44435, 312, 299
44441, 313, 299
44442, 313, 299
44449, 315, 300
44450, 315, 300
44451, 315, 300
44453, 315, 300
44454, 315, 300
44455, 315, 300
44457, 316, 300
44458, 316, 300
44459, 317, 300
44461, 317, 300
44462, 317, 301
44463, 317, 301
44465, 318, 301
44466, 318, 301
44467, 318, 301
44468, 318, 301
44469, 318, 301
44470, 318, 301
44471, 318, 301
44473, 320, 301
44474, 320, 301
44475, 320, 301
44477, 322, 300
44478, 322, 300
44479, 321, 300
44481, 320, 300
44482, 320, 300
44483, 320, 300
44485, 322, 300
44486, 322, 300
44487, 322, 300
44489, 323, 301
44490, 323, 301
44491, 323, 301
44493, 324, 301
44494, 324, 301
44495, 324, 301
44497, 324, 301
44498, 324, 301
44499, 324, 301
44501, 324, 300
44502, 324, 300
44503, 324, 300
44505, 326, 300
44506, 326, 300
44507, 327, 300
44508, 327, 300
44509, 326, 301
44510, 326, 301
44511, 326, 301
44512, 327, 301
44513, 328, 301
44514, 328, 301
44515, 328, 301
44517, 328, 301
44518, 328, 301
44519, 328, 301
44521, 329, 300
44522, 329, 300
44523, 329, 300
44525, 330, 300
44526, 330, 300
44527, 330, 300
44529, 331, 300
44530, 331, 300
44531, 331, 300
44533, 331, 300
44534, 331, 300
44535, 331, 300
44536, 331, 300
44537, 332, 300
44538, 332, 300
44539, 332, 300
44541, 334, 301
44542, 334, 301
44543, 333, 301
44545, 334, 300
44546, 334, 300
44547, 334, 300
44549, 335, 300
44550, 335, 300
44551, 335, 299
44552, 336, 299
44553, 335, 301
44554, 336, 299
44555, 336, 299
44556, 336, 299
44557, 337, 300
44558, 337, 300
44559, 337, 300
44561, 338, 300
44562, 338, 300
44563, 338, 300
44565, 338, 299
44566, 338, 299
44567, 338, 299
44568, 339, 299
44569, 340, 299
44570, 340, 299
44571, 340, 299
44572, 340, 299
44573, 341, 299
44574, 341, 299
44575, 341, 299
44577, 341, 298
44578, 341, 298
44579, 341, 298
44581, 343, 299
44582, 343, 299
44583, 343, 299
44584, 343, 299
44585, 345, 299
44586, 345, 299
44587, 345, 299
44588, 345, 299
44589, 344, 299
44590, 344, 298
44591, 344, 299
44593, 345, 298
44594, 345, 298
44595, 345, 298
44596, 346, 298
44597, 346, 299
44598, 347, 299
44599, 347, 299
44600, 347, 298
44601, 348, 299
44602, 348, 299
44603, 348, 299
44604, 349, 300
44605, 349, 299
44606, 348, 299
44607, 348, 299
44608, 349, 299
44609, 349, 299
44610, 349, 299
44611, 349, 299
44613, 350, 298
44614, 350, 298
44615, 350, 298
44617, 352, 299
44618, 352, 299
44619, 352, 299
44620, 352, 299
44621, 353, 299
44622, 353, 299
44623, 353, 299
44625, 354, 299
44626, 354, 299
44627, 354, 300
44629, 354, 299
44630, 354, 299
