# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
14490, 249, 189
14493, 248, 188
14494, 248, 188
14495, 248, 188
14496, 248, 188
14497, 248, 187
14498, 248, 187
14499, 248, 187
14500, 248, 187
14501, 247, 186
14502, 247, 186
14503, 248, 186
14504, 247, 186
14505, 248, 184
14506, 248, 184
14507, 247, 184
14508, 247, 184
14509, 247, 184
14510, 247, 184
14511, 247, 184
14512, 247, 183
14513, 246, 183
14514, 246, 183
14515, 246, 183
14517, 246, 182
14518, 246, 182
14519, 246, 182
14521, 245, 182
14522, 245, 181
14523, 245, 181
14525, 245, 180
14526, 245, 180
14527, 245, 180
14528, 244, 180
14529, 244, 179
14530, 244, 179
14531, 244, 179
14532, 244, 178
14533, 244, 178
14534, 244, 178
14535, 244, 178
14541, 245, 178
14542, 245, 178
14543, 245, 178
14545, 246, 177
14546, 246, 177
14547, 246, 177
14549, 244, 175
14550, 244, 175
14551, 244, 175
14552, 244, 175
14553, 244, 175
14554, 244, 174
14555, 244, 174
14556, 244, 175
14557, 244, 174
14558, 244, 174
14559, 244, 174
14560, 244, 173
14561, 243, 172
14562, 243, 172
14563, 243, 172
14564, 243, 171
14565, 243, 171
14566, 243, 171
14567, 243, 171
14569, 243, 170
14570, 243, 170
14571, 243, 169
14572, 243, 169
14573, 243, 168
14574, 243, 168
14575, 243, 168
14576, 242, 168
14577, 242, 168
14578, 242, 168
14579, 242, 168
14580, 242, 168
14581, 241, 166
14582, 241, 166
14583, 241, 166
14584, 241, 165
14585, 241, 164
14586, 241, 163
14587, 241, 163
14588, 240, 164
14589, 240, 162
14590, 240, 162
14591, 240, 162
14592, 240, 162
14593, 239, 161
14594, 239, 161
14595, 239, 161
14596, 238, 161
14597, 239, 159
14598, 239, 159
14599, 238, 159
14600, 238, 158
14601, 239, 157
14602, 228, 151
14603, 228, 151
14604, 228, 150
14605, 229, 150
14606, 229, 151
14607, 229, 150
14608, 229, 150
14609, 229, 149
14610, 229, 149
14611, 229, 149
14612, 238, 154
14613, 229, 147
14614, 229, 147
14615, 229, 147
14616, 229, 147
14617, 229, 147
14618, 229, 147
14619, 229, 146
14620, 229, 146
14621, 229, 146
14622, 229, 146
14623, 229, 146
14625, 230, 144
14626, 230, 144
14627, 230, 144
14628, 229, 143
14629, 230, 144
14630, 230, 144
14631, 230, 144
14632, 230, 143
14633, 231, 143
14634, 231, 143
14635, 231, 143
14636, 233, 143
14637, 231, 143
14638, 231, 142
14639, 231, 142
14641, 231, 141
14642, 231, 141
14643, 231, 141
14644, 232, 141
14645, 232, 140
14646, 232, 141
14647, 232, 140
14648, 232, 140
14649, 233, 140
14650, 233, 141
14651, 232, 139
14652, 233, 139
14653, 232, 139
14654, 232, 139
14655, 232, 139
14672, 246, 144
14673, 248, 142
14674, 248, 142
14675, 248, 142
14676, 248, 141
14677, 251, 142
14678, 251, 142
14679, 251, 142
14680, 253, 142
14681, 258, 133
14682, 258, 133
14683, 258, 133
14684, 258, 133
14685, 253, 138
14686, 252, 138
14687, 253, 138
14688, 253, 138
14689, 252, 137
14690, 252, 137
14691, 252, 137
14692, 252, 137
14693, 253, 133
14694, 253, 133
14695, 253, 133
14696, 252, 133
14697, 251, 134
14698, 251, 134
14699, 251, 134
14700, 251, 133
14701, 251, 132
14702, 251, 132
14703, 251, 133
14704, 251, 131
14705, 251, 131
14706, 251, 131
14707, 251, 130
14708, 251, 130
14709, 253, 125
14710, 253, 125
14711, 250, 130
14713, 250, 129
14714, 250, 129
14715, 250, 129
14716, 250, 128
14717, 250, 128
14718, 250, 128
14719, 250, 128
14720, 249, 127
14721, 250, 126
14722, 250, 126
14723, 250, 126
14725, 250, 127
14726, 250, 127
14727, 250, 127
14729, 250, 125
14730, 250, 125
14731, 250, 125
14733, 250, 123
14734, 250, 124
14735, 250, 123
14736, 250, 123
14737, 250, 124
14738, 250, 124
14739, 250, 123
14741, 251, 122
14742, 251, 122
14743, 251, 122
14744, 251, 121
14745, 251, 120
14746, 251, 120
14747, 251, 120
14748, 251, 120
14749, 250, 119
14750, 250, 119
14751, 250, 119
14752, 250, 118
14753, 250, 118
14754, 250, 118
14756, 252, 114
14768, 251, 113
14797, 251, 102
14798, 251, 102
14799, 251, 102
14800, 251, 102
14808, 248, 100
14812, 248, 100
14813, 247, 100
14814, 247, 100
14817, 246, 99
14818, 246, 99
14819, 246, 100
14821, 246, 99
14822, 246, 98
14823, 246, 98
14824, 246, 98
14825, 246, 97
14826, 246, 97
14827, 246, 98
14828, 245, 98
14829, 245, 97
14830, 245, 97
14831, 245, 96
14833, 249, 89
14834, 249, 89
14835, 249, 89
14836, 249, 89
14837, 246, 95
14838, 246, 95
14839, 246, 95
14841, 247, 93
14842, 247, 92
14843, 247, 93
14844, 247, 93
14845, 246, 93
14846, 246, 93
14847, 246, 93
14849, 245, 91
14850, 245, 92
14851, 245, 91
14852, 245, 91
14853, 245, 91
14854, 245, 91
14855, 245, 91
