# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
40345, 225, 306
40346, 225, 306
40347, 225, 306
40348, 225, 305
40349, 223, 305
40350, 223, 305
40351, 223, 305
40352, 223, 305
40353, 223, 305
40354, 223, 305
40355, 223, 305
40357, 222, 307
40358, 222, 307
40359, 222, 307
40365, 219, 306
40366, 219, 306
40367, 219, 306
40368, 219, 306
40369, 220, 306
40370, 220, 306
40371, 220, 306
40372, 220, 306
40373, 219, 307
40374, 219, 307
40375, 219, 307
40381, 218, 306
40382, 218, 306
40383, 218, 306
40385, 217, 306
40386, 217, 306
40387, 217, 306
40389, 215, 307
40390, 215, 307
40393, 215, 307
40394, 215, 307
40395, 215, 307
40397, 215, 307
40398, 215, 307
40399, 215, 307
40401, 212, 307
40402, 212, 307
40403, 212, 307
40405, 212, 307
40406, 212, 307
40409, 211, 307
40410, 211, 308
40411, 211, 308
40412, 211, 308
40413, 211, 308
40414, 211, 308
40421, 210, 307
40425, 209, 308
40426, 209, 308
40427, 209, 308
40433, 208, 307
40434, 208, 307
40437, 207, 308
40438, 207, 308
40441, 206, 306
40442, 206, 306
40443, 206, 307
40444, 205, 307
40445, 205, 307
40446, 205, 307
40447, 205, 307
40448, 205, 307
40449, 204, 307
40450, 204, 307
40451, 204, 308
40453, 203, 308
40454, 203, 308
40455, 203, 308
40457, 203, 308
40458, 203, 308
40459, 203, 308
40461, 202, 308
40462, 202, 308
40463, 202, 308
40465, 201, 308
40466, 201, 308
40467, 201, 308
40468, 200, 308
40469, 199, 307
40470, 199, 307
40471, 199, 307
40472, 199, 307
40473, 199, 308
40474, 199, 308
40475, 199, 308
40481, 197, 308
40482, 197, 308
40483, 198, 308
40484, 197, 307
40485, 197, 307
40486, 197, 307
40493, 195, 307
40494, 195, 307
40495, 195, 307
40496, 195, 307
40497, 195, 307
40498, 195, 307
40499, 195, 307
40501, 194, 307
40502, 194, 307
40503, 194, 306
40504, 194, 306
40505, 194, 306
40506, 193, 306
40507, 193, 306
40509, 192, 306
40510, 192, 306
40511, 192, 307
40513, 191, 306
40514, 191, 306
40515, 191, 306
40516, 191, 306
40517, 191, 306
40518, 191, 306
40519, 191, 306
40525, 190, 305
40526, 190, 305
40527, 190, 305
40528, 189, 305
40529, 188, 305
40530, 188, 305
40531, 188, 304
40532, 188, 304
40533, 188, 304
40534, 188, 304
40535, 188, 304
40537, 187, 303
40538, 187, 303
40539, 187, 303
40540, 187, 303
40541, 186, 303
40542, 186, 303
40543, 186, 303
40544, 186, 303
40545, 185, 303
40546, 185, 303
40547, 185, 303
40549, 185, 301
40550, 185, 301
40551, 185, 301
40552, 185, 301
40553, 184, 302
40554, 184, 302
40557, 183, 301
40558, 183, 301
40559, 183, 301
40560, 183, 301
40561, 182, 300
40562, 182, 300
40563, 182, 300
40564, 182, 300
40565, 181, 299
40566, 181, 299
40567, 181, 299
40568, 181, 298
40569, 180, 298
40570, 180, 298
40571, 180, 298
40572, 180, 298
40573, 180, 298
40574, 180, 298
40575, 180, 298
40577, 179, 297
40578, 179, 297
40579, 179, 296
40581, 178, 296
40582, 178, 296
40583, 178, 296
40584, 178, 296
40585, 178, 296
40586, 178, 296
40587, 178, 296
40589, 177, 294
40590, 177, 294
40591, 177, 294
40593, 177, 294
40594, 177, 294
40595, 177, 294
40597, 176, 293
40598, 176, 293
40599, 176, 293
40600, 176, 293
40601, 175, 292
40602, 175, 292
40603, 175, 292
40605, 175, 292
40606, 175, 292
40607, 174, 292
40617, 173, 289
40618, 173, 289
40619, 173, 289
40620, 173, 288
40621, 171, 289
40622, 171, 289
40623, 171, 289
40625, 170, 288
40626, 170, 288
40627, 170, 288
40628, 170, 288
40629, 170, 288
40630, 170, 288
40631, 170, 287
40637, 169, 286
40638, 169, 286
40639, 169, 286
40641, 168, 287
40642, 168, 287
40643, 168, 287
40645, 168, 286
40646, 168, 286
40647, 168, 286
40649, 167, 286
40650, 167, 286
40651, 167, 286
40653, 166, 285
40654, 166, 285
40655, 166, 285
40657, 166, 285
40658, 166, 285
40713, 157, 279
40714, 157, 279
40715, 157, 279
40717, 158, 279
40718, 158, 279
40719, 158, 279
40741, 154, 276
40742, 154, 276
40757, 152, 273
40758, 152, 273
40781, 147, 271
40782, 147, 271
40783, 147, 271
