# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
41545, 388, 78
41546, 388, 78
41547, 388, 78
41548, 388, 78
41549, 387, 79
41550, 387, 79
41551, 387, 79
41552, 387, 79
41553, 386, 81
41554, 386, 81
41555, 386, 81
41556, 386, 82
41557, 384, 83
41558, 384, 83
41559, 384, 83
41560, 383, 83
41561, 383, 82
41562, 383, 82
41563, 383, 82
41577, 388, 77
41578, 388, 77
41579, 388, 77
41581, 388, 75
41582, 388, 75
41583, 388, 75
41584, 388, 75
41589, 383, 83
41590, 383, 83
41591, 383, 83
41592, 383, 83
41593, 383, 84
41594, 383, 84
41595, 383, 84
41596, 383, 84
41597, 395, 78
41598, 395, 78
41609, 386, 83
41610, 386, 83
41611, 386, 83
41612, 386, 83
41621, 382, 71
41622, 382, 71
41623, 382, 71
41624, 382, 71
41633, 388, 81
41634, 388, 81
41635, 388, 81
41636, 388, 81
41637, 398, 79
41638, 399, 79
41639, 399, 79
41640, 389, 82
41641, 383, 72
41642, 383, 72
41643, 383, 72
41645, 391, 80
41646, 391, 80
41647, 391, 80
41649, 390, 81
41650, 390, 83
41651, 390, 83
41653, 387, 84
41654, 387, 84
41655, 387, 84
41665, 401, 79
41666, 401, 79
41667, 401, 79
41668, 401, 79
41669, 401, 79
41673, 404, 70
41674, 404, 70
41675, 404, 70
41676, 404, 70
41677, 404, 71
41681, 408, 72
41682, 408, 72
41683, 408, 72
41684, 408, 72
41685, 405, 71
41686, 407, 72
41687, 404, 71
41688, 404, 71
41693, 414, 70
41694, 414, 70
41695, 414, 70
41696, 414, 70
41717, 413, 72
41718, 413, 72
41719, 413, 72
41720, 413, 72
41721, 411, 73
41722, 411, 73
41723, 411, 73
41724, 411, 73
41745, 403, 81
41746, 403, 81
41747, 396, 83
41748, 396, 83
41749, 394, 84
41750, 394, 84
41751, 395, 84
41753, 408, 73
41754, 408, 73
41755, 408, 73
41756, 408, 73
41757, 390, 77
41758, 390, 77
41759, 390, 77
41760, 390, 77
41761, 395, 81
41762, 395, 81
41763, 394, 81
41764, 394, 81
41769, 396, 80
41770, 396, 80
41771, 396, 80
41793, 391, 75
41794, 391, 75
41795, 391, 75
41796, 391, 76
41809, 399, 86
41810, 399, 86
41811, 399, 86
41812, 399, 86
41813, 400, 85
41814, 400, 85
41815, 400, 85
41816, 401, 85
41821, 392, 86
41822, 392, 86
41823, 392, 86
41824, 392, 86
41829, 393, 76
41830, 393, 76
41831, 393, 76
41837, 406, 74
41838, 406, 74
41839, 406, 74
41840, 406, 74
41841, 406, 74
41842, 406, 74
41843, 412, 82
