# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
39059, 355, 173
39060, 355, 173
39061, 356, 171
39062, 356, 171
39063, 356, 171
39064, 356, 171
39065, 356, 170
39066, 356, 170
39067, 356, 170
39068, 356, 170
39069, 357, 169
39070, 357, 169
39071, 357, 169
39072, 357, 169
39073, 359, 168
39074, 359, 168
39075, 359, 168
39076, 359, 168
39077, 359, 167
39078, 359, 167
39079, 359, 167
39080, 359, 167
39081, 360, 166
39082, 360, 166
39083, 360, 166
39084, 360, 166
39085, 360, 164
39086, 360, 164
39087, 360, 164
39088, 360, 163
39089, 360, 164
39090, 360, 164
39091, 360, 164
39093, 361, 163
39094, 361, 163
39095, 361, 163
39097, 362, 162
39098, 362, 162
39099, 362, 162
39100, 362, 162
39101, 362, 162
39102, 362, 162
39103, 362, 162
39105, 362, 161
39106, 362, 161
39107, 362, 161
39113, 362, 158
39114, 362, 158
39115, 362, 158
39116, 362, 157
39117, 362, 157
39118, 362, 157
39119, 362, 157
39120, 362, 157
39121, 362, 155
39122, 362, 155
39123, 362, 155
39124, 362, 154
39125, 364, 152
39126, 364, 152
39127, 364, 152
39128, 364, 152
39129, 366, 150
39130, 366, 150
39131, 366, 150
39132, 366, 150
39133, 366, 147
39134, 366, 147
39135, 366, 147
39136, 366, 147
39137, 367, 146
39138, 367, 146
39139, 367, 146
39140, 367, 146
39141, 368, 144
39142, 368, 144
39143, 368, 144
39144, 368, 144
39145, 368, 143
39146, 368, 143
39147, 368, 143
39148, 368, 142
39149, 369, 141
39150, 369, 141
39151, 369, 141
39152, 369, 140
39153, 369, 139
39154, 369, 139
39155, 369, 139
39156, 369, 139
39157, 369, 139
39158, 369, 139
39159, 369, 139
39165, 370, 136
39166, 370, 136
39167, 370, 136
39168, 370, 136
39169, 371, 134
39170, 371, 134
39171, 371, 134
39172, 371, 134
39173, 370, 133
39174, 370, 133
39175, 370, 133
39176, 370, 133
39177, 370, 132
39178, 370, 132
39179, 370, 132
39180, 370, 132
39181, 370, 131
39182, 370, 131
39183, 370, 130
39184, 370, 130
39185, 371, 129
39186, 371, 129
39187, 371, 129
39188, 371, 128
39189, 372, 127
39190, 372, 127
39191, 372, 127
39192, 372, 127
39193, 372, 126
39194, 372, 126
39195, 372, 126
39196, 372, 126
39197, 373, 124
39198, 373, 124
39199, 373, 124
39200, 373, 124
39201, 373, 123
39202, 373, 122
39203, 373, 122
39204, 373, 122
39205, 375, 120
39206, 375, 120
39207, 375, 120
39208, 375, 120
39209, 375, 118
39210, 375, 118
39211, 375, 118
39212, 375, 118
39213, 376, 116
39214, 376, 116
39215, 376, 116
39216, 376, 116
39217, 378, 114
39218, 378, 114
39219, 378, 114
39220, 378, 114
39221, 379, 112
39222, 379, 112
39223, 379, 112
39224, 379, 111
39225, 381, 109
39226, 381, 109
39227, 381, 109
39228, 381, 109
39229, 380, 108
39230, 380, 108
39231, 380, 108
39232, 380, 107
39233, 380, 107
39234, 380, 107
39235, 380, 107
39245, 381, 102
39246, 381, 102
39247, 381, 102
39248, 381, 102
39269, 385, 90
39270, 385, 90
39271, 385, 90
39272, 385, 90
39273, 386, 87
39274, 386, 87
39275, 386, 87
39276, 386, 87
39277, 386, 83
39278, 386, 83
39279, 386, 83
39280, 386, 83
39281, 385, 79
39282, 385, 79
39283, 385, 79
39284, 385, 79
39289, 390, 89
39290, 390, 89
39291, 390, 90
39292, 390, 90
39293, 391, 93
39294, 391, 93
39295, 391, 93
39296, 391, 93
39297, 392, 93
39298, 392, 94
39299, 392, 94
39300, 392, 94
39301, 392, 94
39302, 392, 94
39317, 390, 86
39318, 390, 86
39351, 380, 75
39434, 375, 73
39435, 375, 73
39436, 375, 73
39445, 374, 73
39446, 374, 73
39447, 374, 73
39453, 376, 74
39454, 376, 74
39455, 376, 74
39456, 376, 74
39457, 375, 74
39458, 375, 74
39459, 375, 74
39465, 373, 76
39466, 373, 76
39489, 363, 66
39515, 367, 52
39516, 366, 51
39529, 358, 41
39530, 358, 41
39531, 358, 41
