# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
29053, 528, 379
29054, 528, 379
29055, 528, 379
29057, 530, 377
29058, 529, 377
29059, 530, 377
29061, 529, 377
29062, 529, 377
29063, 529, 377
29065, 530, 376
29066, 530, 376
29069, 530, 375
29070, 530, 375
29071, 530, 376
29073, 531, 375
29074, 531, 375
29075, 531, 375
29077, 531, 374
29078, 531, 374
29079, 531, 374
29081, 532, 373
29082, 532, 373
29083, 532, 373
29084, 533, 373
29085, 534, 373
29086, 534, 373
29087, 534, 373
29093, 535, 372
29094, 535, 372
29095, 535, 372
29097, 534, 371
29098, 534, 371
29099, 534, 371
29101, 535, 370
29102, 535, 370
29103, 535, 370
29105, 536, 370
29106, 536, 370
29107, 536, 370
29109, 536, 369
29110, 536, 369
29111, 536, 369
29112, 538, 369
29113, 537, 369
29114, 537, 369
29115, 537, 369
29116, 536, 369
29117, 537, 368
29118, 537, 368
29119, 537, 368
29121, 537, 367
29122, 537, 367
29123, 537, 367
29125, 538, 367
29126, 538, 367
29127, 538, 366
29129, 538, 366
29130, 538, 366
29131, 538, 366
29132, 539, 366
29133, 539, 365
29134, 539, 365
29135, 539, 365
29136, 539, 364
29137, 539, 364
29138, 539, 364
29139, 539, 364
29141, 540, 363
29142, 540, 363
29143, 540, 363
29145, 540, 363
29146, 540, 363
29147, 540, 363
29148, 541, 363
29149, 541, 362
29150, 541, 362
29151, 541, 362
29152, 542, 362
29153, 540, 361
29154, 540, 361
29155, 540, 361
29157, 541, 360
29158, 541, 360
29159, 541, 360
29161, 541, 360
29162, 541, 360
29163, 541, 360
29165, 541, 358
29166, 541, 358
29167, 541, 358
29168, 541, 358
29169, 543, 358
29170, 543, 358
29171, 543, 358
29172, 545, 358
29173, 543, 356
29174, 543, 356
29175, 543, 356
29177, 542, 355
29178, 542, 355
29179, 542, 355
29181, 544, 355
29182, 544, 355
29183, 544, 355
29185, 544, 355
29186, 544, 355
29187, 544, 355
29189, 544, 354
29190, 544, 354
29191, 544, 354
29192, 546, 354
29193, 544, 352
29194, 544, 352
29195, 544, 352
29196, 543, 352
29197, 544, 352
29198, 544, 352
29199, 544, 352
29201, 544, 352
29202, 544, 351
29203, 544, 351
29205, 545, 350
29206, 545, 350
29207, 545, 350
29208, 547, 350
29209, 545, 350
29210, 545, 350
29211, 545, 350
29212, 543, 349
29213, 546, 349
29214, 546, 349
29215, 546, 349
29216, 546, 348
29217, 545, 348
29218, 545, 348
29219, 545, 348
29220, 543, 347
29221, 546, 348
29222, 546, 348
29223, 545, 348
29225, 546, 345
29226, 546, 345
29227, 546, 345
29228, 546, 345
29229, 547, 345
29230, 547, 345
29231, 547, 345
29233, 545, 344
29234, 545, 344
29235, 545, 344
29237, 542, 346
29238, 542, 346
29239, 542, 346
29240, 536, 357
29241, 546, 343
29242, 546, 343
29243, 546, 343
29244, 546, 342
29245, 547, 342
29246, 547, 342
29247, 547, 342
29249, 547, 342
29250, 547, 342
29251, 547, 342
29253, 547, 341
29254, 547, 341
29255, 547, 341
29256, 547, 340
29257, 548, 340
29258, 548, 339
29259, 548, 340
29261, 548, 338
29262, 548, 338
29263, 548, 338
29264, 548, 338
29265, 549, 338
29266, 549, 338
29267, 549, 338
29269, 547, 339
29270, 547, 339
29271, 547, 339
29277, 548, 335
29278, 548, 335
29279, 548, 335
29280, 548, 336
29281, 549, 335
29282, 549, 335
29283, 548, 334
29284, 547, 334
29286, 549, 334
29289, 549, 333
29290, 549, 332
29291, 549, 333
29293, 548, 333
29294, 548, 333
29295, 548, 333
29296, 548, 333
29297, 548, 332
29298, 548, 333
29299, 549, 332
29300, 540, 344
29305, 549, 330
29306, 549, 330
29307, 549, 330
29308, 548, 329
29309, 549, 329
29310, 549, 329
29311, 549, 329
29313, 550, 328
29314, 550, 328
29315, 550, 327
29316, 550, 327
29317, 549, 327
29318, 549, 327
29319, 549, 327
29321, 550, 327
29322, 550, 327
29323, 550, 327
29324, 550, 326
29325, 549, 325
29326, 549, 325
29327, 549, 325
29328, 549, 325
29329, 550, 324
29330, 550, 324
29331, 550, 324
29333, 550, 323
29334, 550, 325
29335, 550, 323
29336, 550, 323
29337, 550, 322
29338, 550, 322
29339, 550, 322
29345, 551, 321
29346, 552, 321
29347, 552, 321
29348, 552, 320
29349, 550, 322
29350, 550, 322
29351, 550, 322
29352, 549, 322
29353, 550, 321
29354, 550, 321
29355, 550, 319
29356, 551, 318
29357, 551, 319
29358, 551, 319
29359, 551, 319
29360, 552, 318
29361, 550, 319
29362, 550, 319
29363, 550, 319
29364, 551, 317
29365, 551, 317
29366, 551, 317
29367, 551, 317
29369, 549, 316
29370, 549, 316
29371, 549, 316
29373, 551, 315
29374, 551, 315
29375, 551, 315
29377, 551, 315
29378, 551, 315
29379, 552, 315
29381, 552, 313
29382, 552, 313
29383, 551, 313
29385, 550, 312
29386, 550, 312
29387, 550, 312
29388, 550, 312
29389, 551, 311
29390, 551, 311
29391, 551, 313
29392, 551, 311
29393, 551, 311
29394, 551, 311
29395, 552, 311
29396, 552, 311
29397, 552, 311
29398, 552, 311
29399, 552, 311
29401, 551, 310
29402, 551, 310
29403, 551, 310
29405, 552, 308
29406, 552, 308
29407, 550, 308
29409, 552, 307
29410, 552, 307
29411, 552, 307
29413, 551, 309
29414, 551, 309
29415, 551, 309
29416, 551, 309
29417, 551, 308
29418, 551, 308
29419, 551, 306
29421, 552, 305
29422, 552, 305
29423, 552, 305
29425, 549, 306
29426, 549, 306
29427, 549, 306
29428, 551, 306
29429, 551, 305
29430, 551, 305
29431, 551, 305
29432, 552, 303
29433, 552, 304
29434, 552, 304
29435, 552, 304
29436, 552, 302
29437, 553, 302
29438, 553, 302
29439, 553, 302
29440, 553, 301
29441, 552, 300
29442, 552, 300
29443, 551, 300
29445, 552, 300
29446, 552, 300
29447, 552, 300
29449, 552, 299
29450, 552, 299
29451, 552, 299
29453, 551, 300
29454, 551, 300
29455, 551, 300
29457, 551, 299
29458, 551, 299
29459, 551, 299
29460, 545, 312
29461, 552, 296
29462, 552, 296
29463, 544, 312
29465, 553, 295
29466, 553, 295
29467, 553, 295
29468, 553, 295
29469, 551, 296
29470, 551, 296
29471, 551, 296
29472, 551, 296
29473, 552, 296
29474, 552, 296
29475, 552, 296
29477, 552, 293
29478, 552, 293
29479, 552, 293
29481, 552, 292
29482, 552, 292
29483, 553, 292
29484, 553, 292
29485, 553, 291
29486, 553, 291
29487, 553, 291
29493, 551, 292
29494, 551, 292
29495, 551, 292
29497, 552, 289
29498, 552, 289
29499, 545, 304
29501, 553, 289
29502, 553, 289
29503, 553, 289
29504, 553, 289
29505, 552, 290
29506, 552, 290
29507, 552, 290
29509, 552, 287
29510, 552, 287
29511, 552, 287
29512, 553, 286
29513, 553, 285
29514, 553, 285
29515, 553, 285
29516, 553, 285
29517, 553, 285
29518, 553, 285
29519, 553, 285
29521, 554, 284
29522, 554, 284
29526, 552, 284
29529, 553, 284
29530, 553, 284
29531, 553, 284
29532, 553, 284
29533, 553, 283
29534, 553, 283
29535, 553, 283
29537, 554, 281
29538, 553, 281
29539, 553, 281
29541, 554, 280
29542, 554, 280
29543, 554, 280
29545, 552, 280
29546, 552, 280
29547, 552, 280
29548, 553, 278
29549, 552, 279
29550, 552, 279
29551, 552, 279
29552, 553, 278
29553, 554, 278
29554, 554, 278
29555, 554, 278
29557, 555, 276
29558, 555, 276
29559, 555, 276
29561, 552, 277
29562, 552, 277
29563, 552, 277
29564, 552, 277
29565, 551, 276
29566, 551, 276
29567, 551, 276
29568, 551, 276
29569, 551, 275
29570, 551, 275
29571, 552, 275
29572, 552, 274
29573, 551, 275
29574, 551, 275
29575, 551, 275
29577, 552, 273
29578, 552, 272
29579, 552, 272
29580, 552, 272
29581, 552, 271
29582, 552, 271
29583, 551, 271
29584, 553, 269
29585, 552, 270
29586, 552, 270
29587, 551, 270
29588, 551, 269
29589, 550, 270
29590, 550, 270
29591, 550, 270
29592, 550, 269
29593, 550, 268
29594, 550, 268
29595, 550, 268
29596, 550, 268
29597, 551, 268
29598, 551, 268
29599, 551, 268
29600, 551, 266
29601, 550, 266
29602, 550, 266
29603, 550, 266
29604, 550, 265
29605, 549, 265
29606, 549, 265
29607, 549, 265
29608, 549, 265
29609, 549, 264
29610, 549, 264
29611, 549, 264
29613, 551, 262
29614, 551, 262
29615, 550, 262
29616, 551, 262
29634, 551, 258
29635, 551, 258
29636, 552, 258
29637, 550, 258
29638, 550, 258
29639, 550, 258
29641, 549, 258
29642, 549, 258
29643, 549, 258
29644, 548, 258
29645, 550, 258
29646, 550, 258
29647, 550, 257
29648, 547, 258
29649, 550, 256
29650, 550, 256
29651, 550, 256
29653, 549, 255
29654, 549, 255
29655, 549, 255
29657, 547, 256
29658, 547, 256
29659, 547, 256
29660, 546, 256
29661, 546, 255
29662, 546, 255
29663, 545, 256
29664, 545, 256
29665, 545, 255
29666, 545, 255
29667, 545, 255
29668, 545, 254
29669, 545, 255
29670, 545, 255
29671, 545, 254
29672, 545, 254
29673, 544, 255
29674, 544, 255
29675, 544, 255
29677, 543, 255
29678, 543, 255
29679, 543, 255
29680, 543, 253
29681, 543, 255
29682, 543, 255
