# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
9463, 164, 221
9465, 164, 220
9466, 164, 220
9467, 164, 220
9468, 157, 230
9469, 163, 220
9470, 163, 220
9471, 163, 220
9477, 163, 219
9478, 163, 219
9481, 162, 219
9482, 162, 219
9483, 162, 219
9485, 161, 218
9486, 161, 218
9487, 161, 218
9488, 161, 218
9489, 161, 218
9490, 161, 218
9491, 161, 218
9493, 152, 228
9494, 152, 228
9495, 152, 228
9497, 160, 215
9498, 160, 215
9499, 159, 215
9500, 159, 215
9501, 159, 215
9502, 159, 215
9503, 159, 215
9505, 159, 214
9506, 159, 214
9507, 159, 214
9508, 158, 214
9509, 157, 214
9510, 157, 214
9511, 157, 214
9512, 157, 214
9513, 157, 213
9514, 157, 213
9515, 157, 213
9517, 156, 212
9518, 156, 212
9519, 156, 212
9521, 156, 212
9522, 156, 212
9523, 156, 211
9524, 156, 211
9525, 155, 211
9526, 155, 211
9529, 155, 211
9533, 154, 210
9534, 154, 210
9535, 154, 210
9545, 153, 209
9546, 153, 209
9547, 153, 209
9548, 153, 209
9549, 153, 209
9550, 153, 209
9557, 154, 207
9558, 154, 207
9569, 152, 206
9570, 152, 206
9571, 152, 205
9573, 152, 205
9574, 152, 205
9575, 151, 205
9577, 151, 205
9578, 151, 205
9579, 151, 205
9580, 150, 205
9581, 151, 204
9582, 151, 204
9583, 151, 204
9584, 151, 204
9585, 149, 203
9586, 149, 203
9587, 149, 203
9588, 149, 203
9589, 148, 201
9590, 148, 201
9591, 148, 201
9592, 148, 201
9593, 146, 200
9594, 146, 200
9595, 146, 200
9596, 146, 200
9597, 144, 199
9598, 144, 199
9599, 144, 199
9600, 144, 199
9601, 143, 198
9602, 143, 198
9603, 143, 198
9604, 143, 198
9605, 142, 196
9606, 142, 196
9607, 142, 196
9608, 142, 196
9609, 141, 195
9610, 141, 195
9611, 141, 195
9613, 140, 194
9614, 140, 194
9615, 140, 194
9616, 140, 194
9617, 140, 193
9618, 140, 193
9619, 139, 193
9620, 139, 193
9621, 139, 193
9622, 139, 193
9623, 138, 193
9625, 138, 191
9626, 138, 191
9627, 138, 191
9629, 137, 192
9630, 137, 192
9631, 137, 192
9641, 136, 190
9642, 136, 190
9643, 136, 190
9644, 136, 190
9645, 136, 190
9646, 136, 190
9647, 136, 190
9648, 135, 190
9649, 135, 190
9650, 135, 190
9651, 135, 203
9652, 135, 203
9653, 134, 202
9654, 134, 202
9655, 134, 202
9656, 134, 202
9657, 134, 189
9658, 134, 189
9659, 134, 189
9660, 133, 189
9661, 133, 201
9662, 133, 201
9663, 132, 201
9665, 133, 201
9666, 133, 201
9667, 133, 200
9669, 132, 199
9670, 132, 199
9677, 132, 187
9678, 132, 187
9679, 132, 187
9680, 132, 187
9701, 131, 185
9702, 131, 185
9703, 131, 185
9704, 131, 185
9705, 131, 185
9706, 131, 185
9707, 131, 185
9717, 130, 183
9718, 130, 183
9719, 130, 183
9720, 130, 183
9721, 130, 181
9722, 130, 181
9723, 130, 181
9724, 130, 181
9725, 129, 181
9726, 130, 181
9727, 130, 181
9728, 128, 180
9729, 128, 180
9730, 128, 180
9731, 128, 180
9733, 127, 179
9734, 127, 179
9735, 127, 179
9736, 127, 178
9737, 125, 177
9738, 125, 177
9739, 125, 177
9740, 125, 177
9741, 124, 175
9742, 124, 175
9743, 124, 175
9744, 124, 175
9745, 124, 175
9746, 124, 175
9747, 124, 174
9748, 124, 174
9749, 122, 173
9750, 122, 173
9751, 122, 173
9752, 122, 173
9753, 121, 172
9754, 121, 172
9755, 121, 172
9757, 121, 171
9758, 121, 171
9759, 121, 171
9760, 121, 171
9761, 121, 171
9762, 121, 171
9763, 121, 170
9765, 121, 169
9766, 121, 169
9767, 121, 169
9769, 121, 168
9770, 121, 168
9771, 121, 168
9772, 121, 168
9773, 120, 168
9774, 120, 168
9775, 120, 168
9777, 123, 181
9778, 123, 181
9779, 123, 181
9781, 123, 179
9782, 123, 179
9783, 123, 179
9784, 123, 179
9789, 120, 176
9790, 120, 176
9791, 120, 176
9793, 120, 176
9797, 121, 165
9798, 121, 165
9829, 121, 162
9830, 121, 162
9831, 121, 162
9837, 122, 161
9838, 122, 161
