# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
4090, 332, 245
4091, 332, 245
4092, 334, 245
4093, 334, 244
4094, 335, 244
4095, 335, 244
4096, 338, 243
4097, 337, 242
4098, 337, 242
4099, 337, 242
4100, 340, 241
4101, 341, 230
4102, 341, 230
4103, 341, 230
4104, 341, 230
4105, 342, 225
4106, 342, 225
4107, 342, 225
4108, 342, 225
4109, 345, 229
4110, 346, 234
4111, 346, 234
4112, 347, 234
4113, 348, 232
4114, 348, 232
4115, 348, 233
4116, 344, 230
4117, 349, 227
4118, 349, 227
4119, 348, 218
4120, 348, 218
4121, 353, 220
4122, 353, 220
4123, 353, 221
4124, 353, 222
4125, 353, 230
4126, 353, 232
4127, 353, 232
4128, 354, 230
4129, 357, 225
4130, 357, 225
4131, 353, 226
4132, 361, 225
4133, 361, 224
4134, 362, 224
4135, 363, 224
4136, 364, 225
4137, 363, 225
4138, 363, 225
4139, 363, 224
4141, 358, 232
4142, 360, 228
4143, 360, 228
4144, 359, 232
4145, 359, 222
4146, 359, 222
4147, 359, 222
4148, 359, 221
4149, 363, 221
4150, 363, 221
4151, 364, 222
4152, 364, 222
4153, 365, 222
4154, 365, 222
4155, 365, 222
4156, 365, 222
4157, 365, 221
4158, 363, 237
4159, 363, 236
4160, 366, 235
4161, 365, 223
4162, 365, 223
4163, 365, 223
4164, 365, 223
4165, 367, 229
4166, 367, 229
4167, 367, 229
4168, 367, 226
4169, 368, 230
4170, 368, 230
4171, 369, 236
4172, 368, 227
4173, 368, 227
4174, 368, 227
4175, 369, 227
4177, 367, 242
4178, 366, 239
4179, 367, 242
4180, 370, 246
4181, 366, 242
4182, 366, 242
4183, 366, 242
4184, 364, 242
4185, 366, 244
4186, 366, 244
4187, 366, 244
4188, 364, 243
4189, 362, 248
4190, 362, 248
4191, 361, 249
4192, 358, 249
4193, 358, 249
4194, 358, 249
4195, 358, 249
4196, 357, 249
4197, 354, 250
4198, 354, 251
4199, 357, 246
4200, 358, 245
4201, 357, 246
4202, 357, 246
4203, 357, 246
4204, 357, 246
4205, 357, 247
4206, 357, 247
4207, 349, 254
4209, 359, 247
4210, 358, 247
4211, 358, 247
4212, 358, 247
4213, 359, 246
4214, 352, 252
4215, 352, 252
4217, 359, 244
4218, 359, 244
4219, 359, 244
4220, 359, 244
4221, 359, 244
4222, 359, 244
4223, 359, 244
