# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
27234, 366, 113
27235, 366, 113
27236, 366, 113
27237, 368, 111
27238, 368, 111
27239, 368, 111
27240, 369, 111
27241, 369, 109
27242, 369, 109
27243, 369, 110
27244, 369, 110
27245, 369, 107
27246, 369, 107
27247, 369, 107
27248, 369, 105
27249, 370, 107
27250, 370, 107
27251, 370, 107
27253, 372, 106
27254, 372, 106
27255, 370, 104
27257, 373, 104
27258, 373, 104
27259, 373, 104
27260, 374, 104
27261, 373, 104
27262, 373, 104
27263, 373, 103
27265, 370, 101
27266, 370, 100
27267, 370, 100
27269, 371, 99
27270, 371, 99
27271, 371, 99
27273, 373, 97
27274, 373, 97
27275, 373, 97
27276, 373, 97
27277, 364, 88
27278, 364, 88
27279, 364, 88
27280, 364, 88
27281, 372, 93
27282, 372, 93
27283, 367, 90
27284, 368, 90
27285, 368, 88
27286, 368, 88
27287, 368, 88
27288, 365, 86
27289, 365, 87
27290, 366, 87
27291, 366, 87
27292, 374, 89
27293, 375, 88
27294, 375, 88
27295, 375, 88
27296, 376, 88
27297, 375, 87
27298, 375, 87
27299, 375, 87
27301, 374, 86
27302, 374, 86
27303, 374, 86
27305, 378, 86
27306, 378, 86
27307, 378, 86
27308, 378, 85
27309, 378, 86
27310, 378, 86
27311, 378, 86
27312, 379, 86
27313, 380, 86
27314, 380, 84
27315, 379, 83
27325, 382, 86
27326, 382, 86
27327, 382, 86
27328, 382, 86
27373, 386, 88
27374, 386, 88
27375, 386, 88
27377, 386, 85
27378, 386, 85
27379, 386, 85
27380, 386, 85
27381, 387, 86
27382, 387, 86
27383, 387, 86
27384, 387, 86
27385, 387, 87
27386, 388, 87
27387, 388, 87
27477, 396, 81
27478, 396, 81
27479, 396, 81
27480, 396, 81
27481, 396, 79
27482, 396, 80
27483, 396, 80
27484, 395, 80
27521, 393, 86
27522, 393, 86
27523, 393, 86
27524, 393, 86
27525, 402, 94
27526, 402, 94
27527, 402, 94
27528, 402, 94
27529, 402, 94
27530, 402, 94
27531, 402, 95
27532, 402, 95
27533, 395, 87
27534, 395, 87
27535, 395, 87
27536, 395, 87
27537, 395, 86
27538, 395, 86
27539, 395, 86
27540, 395, 86
27541, 396, 85
27542, 396, 85
27543, 396, 85
27549, 391, 92
27550, 391, 92
27551, 391, 92
27552, 391, 92
27553, 398, 93
27554, 398, 93
27555, 398, 93
27556, 398, 93
27557, 399, 93
27558, 399, 93
27559, 399, 93
27560, 398, 91
27561, 398, 89
27562, 398, 90
27563, 398, 91
27564, 402, 99
27565, 398, 83
27566, 398, 83
27567, 397, 82
27568, 398, 82
27569, 400, 84
27570, 400, 84
27571, 400, 84
27572, 403, 101
27573, 401, 99
27574, 401, 99
27575, 402, 102
27576, 402, 102
27577, 401, 100
27578, 401, 100
27579, 401, 100
27581, 395, 92
27582, 395, 92
27583, 395, 92
27584, 395, 92
27585, 401, 88
27586, 401, 89
27587, 405, 101
27588, 405, 101
27589, 401, 86
27590, 401, 86
27591, 402, 87
27592, 407, 86
27593, 407, 86
27594, 407, 86
27595, 407, 86
27596, 407, 86
27597, 405, 87
27598, 405, 87
27599, 405, 88
27600, 403, 99
27601, 406, 103
27602, 406, 103
27603, 406, 103
27604, 406, 103
27605, 408, 103
27606, 408, 104
27607, 408, 104
27608, 410, 104
27609, 409, 104
27610, 409, 104
27611, 408, 105
27613, 407, 104
27614, 407, 104
27615, 407, 104
27616, 407, 106
27617, 407, 106
27618, 407, 106
27619, 407, 106
27625, 408, 107
27626, 408, 107
27627, 408, 107
27629, 408, 107
27630, 408, 107
27631, 408, 107
27649, 412, 103
27650, 412, 103
