# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
33730, 413, 172
33733, 411, 167
33734, 411, 167
33741, 413, 164
33742, 413, 164
33743, 413, 164
33744, 416, 167
33745, 414, 166
33746, 415, 166
33747, 416, 166
33748, 416, 165
33749, 417, 165
33750, 417, 165
33751, 417, 165
33752, 417, 165
33753, 416, 164
33754, 417, 164
33755, 418, 162
33756, 418, 162
33757, 418, 162
33758, 418, 162
33759, 419, 162
33760, 417, 159
33761, 419, 159
33762, 419, 159
33763, 418, 159
33764, 419, 164
33765, 420, 160
33766, 420, 160
33767, 420, 160
33768, 420, 160
33769, 422, 154
33770, 422, 154
33771, 422, 154
33772, 421, 150
33773, 423, 154
33774, 423, 156
33775, 423, 156
33776, 424, 155
33777, 425, 152
33778, 425, 152
33779, 424, 152
33780, 424, 152
33781, 427, 150
33782, 427, 149
33783, 427, 149
33784, 427, 149
33785, 429, 148
33786, 429, 148
33787, 429, 148
33788, 429, 148
33789, 430, 147
33790, 430, 147
33791, 430, 147
33792, 433, 148
33793, 431, 144
33794, 430, 144
33795, 431, 144
33796, 431, 143
33797, 431, 142
33798, 431, 142
33799, 431, 142
33800, 432, 139
33801, 433, 139
33802, 433, 139
33803, 433, 139
33804, 433, 139
33805, 433, 137
33806, 432, 140
33807, 433, 137
33808, 433, 141
33814, 430, 135
33815, 430, 135
33821, 433, 137
33824, 435, 137
33829, 447, 136
33830, 450, 140
33831, 450, 140
33832, 450, 140
33833, 450, 138
33834, 450, 138
33835, 449, 137
33836, 449, 136
33873, 453, 140
33874, 453, 140
33875, 453, 140
33876, 453, 140
33929, 453, 138
