# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
17987, 102, 320
17989, 101, 318
17990, 101, 318
17991, 101, 318
17992, 101, 318
17993, 101, 318
17994, 101, 318
17995, 101, 318
17999, 100, 317
18001, 96, 332
18002, 96, 332
18003, 95, 332
18013, 100, 319
18014, 99, 319
18015, 99, 319
18016, 99, 319
18017, 100, 317
18018, 100, 317
18019, 100, 317
18020, 100, 317
18021, 101, 315
18022, 101, 315
18023, 101, 315
18024, 101, 315
18025, 101, 314
18026, 101, 314
18027, 101, 314
18028, 101, 313
18029, 101, 311
18030, 101, 311
18031, 101, 311
18032, 101, 310
18033, 103, 301
18034, 103, 301
18035, 103, 301
18036, 103, 301
18037, 102, 304
18038, 102, 304
18039, 102, 304
18040, 102, 303
18041, 102, 303
18042, 102, 303
18043, 102, 304
18044, 100, 303
18045, 103, 304
18053, 102, 312
18054, 104, 312
18055, 104, 312
18057, 102, 313
18058, 102, 313
18059, 102, 313
18060, 104, 313
18063, 95, 325
18064, 95, 325
18065, 95, 324
18066, 95, 324
18067, 95, 324
18068, 95, 324
18069, 95, 323
18070, 95, 323
18071, 95, 323
18073, 95, 323
18074, 95, 323
18075, 95, 323
18077, 95, 321
18078, 95, 321
18079, 95, 321
18081, 95, 320
18082, 95, 320
18083, 95, 320
18084, 95, 319
18085, 96, 318
18086, 96, 318
18087, 96, 318
18088, 96, 317
18089, 96, 316
18090, 96, 316
18091, 96, 316
18092, 96, 316
18093, 97, 305
18094, 97, 305
18095, 97, 305
18096, 98, 305
18101, 96, 314
18102, 96, 314
18103, 95, 314
18104, 95, 314
18105, 95, 314
18106, 95, 314
18107, 95, 314
18109, 96, 312
18110, 96, 312
18111, 96, 312
18112, 96, 312
18113, 96, 312
18114, 96, 312
18115, 96, 312
18133, 93, 310
18134, 93, 310
18135, 93, 310
18136, 94, 310
18137, 94, 305
18138, 94, 305
18139, 95, 305
18140, 95, 306
18141, 94, 303
18142, 94, 303
18143, 94, 303
18144, 94, 303
18145, 94, 303
18146, 94, 303
18147, 94, 303
18148, 91, 312
18149, 94, 305
18150, 94, 304
18151, 94, 304
18152, 93, 306
18153, 95, 304
18154, 95, 304
18155, 95, 305
18156, 89, 316
18157, 98, 305
18158, 92, 304
18161, 92, 301
18162, 92, 301
18163, 92, 301
18165, 92, 302
18166, 92, 301
18167, 92, 301
18169, 92, 303
18170, 92, 303
18171, 92, 303
18172, 91, 304
18177, 90, 303
18178, 90, 303
18179, 90, 303
18181, 91, 304
18182, 91, 304
18183, 91, 304
18184, 90, 303
18185, 91, 302
18217, 89, 302
18218, 89, 302
18219, 89, 302
18220, 87, 302
18221, 88, 302
18222, 88, 302
18245, 87, 301
18246, 87, 301
18247, 87, 301
18248, 87, 301
18249, 87, 301
18250, 87, 301
18251, 87, 301
18252, 87, 301
18260, 83, 315
18261, 84, 315
18262, 84, 315
18263, 84, 315
18265, 85, 314
18266, 85, 314
18267, 84, 314
18269, 85, 314
18270, 85, 314
18281, 83, 312
18282, 83, 312
18283, 83, 312
18284, 83, 312
18325, 82, 308
18326, 85, 294
18327, 85, 293
18328, 86, 292
18329, 85, 293
18330, 85, 293
18331, 85, 293
18332, 83, 307
18333, 85, 293
18334, 85, 293
18335, 85, 293
18336, 82, 293
18337, 83, 292
18338, 83, 292
18339, 83, 292
18340, 83, 291
18341, 83, 290
18342, 83, 290
18343, 83, 290
18344, 83, 290
18345, 82, 289
18346, 82, 289
18347, 82, 289
18348, 81, 288
18349, 80, 287
18350, 80, 287
18351, 80, 287
18352, 80, 286
18353, 80, 287
18354, 80, 287
18355, 80, 287
18356, 78, 285
18357, 88, 276
18358, 88, 276
18359, 88, 277
18360, 88, 277
18361, 88, 277
18362, 88, 277
18363, 88, 277
18364, 88, 277
18365, 84, 280
18366, 84, 280
18367, 87, 278
18368, 86, 278
18369, 86, 278
18370, 86, 278
18371, 86, 278
18372, 86, 278
18373, 85, 281
18374, 85, 281
18375, 85, 280
18376, 85, 280
18377, 84, 280
18378, 84, 280
18379, 84, 280
18380, 84, 280
18381, 83, 282
18382, 83, 282
18383, 83, 282
18384, 83, 283
18391, 82, 296
18392, 81, 297
18393, 80, 297
18394, 80, 297
18395, 80, 296
18396, 79, 296
18397, 77, 292
18401, 76, 289
18402, 76, 289
18403, 76, 289
18405, 75, 288
18406, 75, 288
18407, 75, 288
18408, 75, 288
18409, 76, 287
18410, 76, 287
18411, 75, 287
18412, 75, 287
18413, 76, 287
18414, 75, 287
18415, 74, 289
18449, 80, 302
18450, 79, 302
18451, 79, 302
18452, 79, 301
18453, 79, 298
18454, 79, 298
18455, 79, 298
18456, 78, 299
18457, 78, 296
18458, 78, 297
18459, 78, 297
18460, 79, 296
18461, 77, 299
18462, 77, 299
18463, 77, 299
18464, 76, 299
18465, 75, 302
18466, 75, 302
18467, 74, 302
18468, 74, 302
18469, 74, 302
18470, 74, 302
18471, 74, 302
18472, 74, 302
18473, 72, 302
18474, 72, 302
18475, 72, 301
18476, 72, 301
18477, 71, 299
18478, 71, 299
18479, 71, 299
18480, 71, 299
18481, 72, 298
18482, 72, 298
18483, 72, 298
18484, 71, 298
18485, 70, 298
18486, 70, 298
18487, 70, 298
18488, 68, 298
18489, 68, 299
18490, 68, 299
18491, 68, 299
18492, 68, 299
18493, 69, 297
18494, 69, 297
18495, 69, 297
18496, 69, 296
18497, 69, 296
18498, 69, 296
18499, 69, 296
18500, 69, 296
18501, 67, 297
18502, 67, 297
18503, 65, 297
18504, 65, 298
18509, 71, 294
18510, 71, 294
18511, 71, 294
18512, 71, 294
18513, 72, 293
18514, 72, 293
18515, 72, 293
18516, 73, 293
18517, 72, 292
18518, 72, 292
18519, 72, 292
18520, 73, 292
18521, 70, 292
18522, 70, 292
18523, 70, 292
18524, 69, 292
18525, 69, 291
18526, 69, 291
18527, 69, 291
