# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
35345, 419, 83
35346, 408, 82
35347, 408, 82
35348, 408, 82
35349, 408, 80
35350, 408, 80
35351, 408, 80
35352, 417, 84
35353, 417, 85
35354, 417, 85
35355, 417, 85
35356, 417, 86
35357, 419, 82
35369, 418, 97
35370, 418, 97
35381, 415, 83
35382, 415, 83
35383, 415, 83
35385, 416, 83
35386, 416, 83
35387, 416, 83
35389, 416, 82
35401, 415, 82
35402, 415, 82
35403, 414, 82
35404, 414, 82
35417, 413, 82
35418, 413, 82
35419, 413, 82
35420, 413, 82
35433, 413, 80
35434, 413, 80
35435, 413, 80
35445, 412, 79
35446, 412, 79
35461, 410, 79
35462, 410, 79
35463, 410, 79
35477, 410, 77
35478, 410, 77
35479, 410, 77
35501, 409, 76
35502, 409, 76
35533, 407, 75
35534, 407, 75
35535, 407, 75
