# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
12029, 361, 301
12030, 361, 301
12031, 361, 301
12033, 361, 301
12034, 361, 301
12045, 362, 299
12046, 362, 299
12047, 362, 299
12049, 362, 298
12050, 362, 298
12051, 362, 298
12053, 363, 298
12054, 363, 298
12055, 363, 298
12056, 363, 298
12057, 363, 297
12058, 363, 297
12059, 363, 297
12061, 364, 296
12062, 364, 296
12063, 364, 296
12064, 364, 296
12065, 364, 296
12066, 364, 296
12067, 364, 296
12077, 365, 294
12078, 365, 294
12079, 365, 294
12093, 366, 291
12094, 366, 291
12095, 366, 291
12096, 366, 290
12097, 366, 290
12098, 366, 290
12099, 367, 290
12100, 367, 289
12101, 366, 289
12102, 366, 289
12103, 367, 289
12109, 368, 287
12110, 368, 287
12111, 368, 287
12112, 368, 287
12113, 368, 287
12114, 368, 287
12115, 368, 287
12116, 369, 287
12117, 369, 286
12118, 369, 286
12119, 369, 286
12121, 369, 285
12122, 369, 285
12123, 369, 285
12124, 369, 284
12125, 370, 284
12126, 370, 284
12127, 370, 284
12128, 370, 284
12129, 370, 284
12130, 370, 284
12131, 370, 284
12133, 373, 284
12134, 373, 284
12137, 373, 283
12138, 373, 283
12139, 373, 283
12140, 373, 283
12141, 373, 283
12142, 373, 283
12143, 373, 283
12149, 375, 282
12150, 375, 282
12151, 375, 282
12153, 375, 281
12154, 375, 281
12155, 375, 281
12157, 376, 281
12158, 376, 281
12159, 376, 281
12161, 377, 281
12162, 377, 281
12163, 377, 281
12164, 377, 281
12165, 378, 281
12166, 378, 281
12167, 378, 281
12168, 378, 280
12169, 378, 280
12170, 378, 280
12171, 378, 280
12173, 380, 279
12174, 380, 279
12175, 380, 279
12177, 380, 279
12181, 381, 278
12182, 381, 278
12183, 381, 278
12185, 382, 277
12186, 382, 277
12187, 382, 277
12188, 382, 277
12189, 383, 278
12190, 383, 278
12191, 383, 278
12193, 383, 277
12194, 383, 277
12195, 383, 277
12196, 384, 277
12197, 384, 277
12198, 385, 277
12199, 385, 276
12200, 385, 276
12201, 384, 276
12202, 384, 276
12203, 384, 276
12204, 384, 275
12205, 385, 275
12206, 385, 275
12207, 385, 275
12209, 386, 274
12210, 386, 274
12211, 386, 275
12212, 387, 275
12213, 387, 274
12214, 387, 274
12215, 387, 274
12217, 387, 273
12218, 387, 273
12219, 387, 273
12220, 387, 273
12221, 388, 272
12222, 388, 272
12223, 388, 272
12225, 389, 272
12226, 389, 272
12227, 389, 272
12228, 389, 272
12229, 390, 271
12230, 390, 271
12231, 390, 271
12232, 390, 271
12233, 391, 271
12234, 391, 271
12235, 391, 271
12236, 391, 271
12237, 392, 270
12238, 392, 270
12239, 392, 270
12241, 392, 269
12242, 392, 269
12243, 392, 269
12245, 393, 268
12246, 393, 268
12247, 393, 268
12249, 394, 267
12250, 394, 267
12251, 394, 267
12252, 395, 267
12253, 395, 266
12254, 395, 266
12255, 395, 266
12256, 396, 266
12257, 395, 265
12258, 395, 265
12259, 395, 265
