# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
7629, 469, 253
7641, 468, 253
7642, 468, 253
7643, 468, 253
7644, 467, 253
7645, 467, 252
7646, 467, 252
7647, 467, 252
7653, 466, 251
7654, 466, 251
7657, 466, 251
7658, 466, 251
7659, 465, 251
7660, 465, 251
7661, 466, 250
7662, 466, 250
7663, 466, 250
7665, 466, 250
7666, 466, 250
7667, 466, 250
7668, 466, 249
7669, 469, 236
7670, 469, 236
7671, 469, 236
7677, 468, 232
7678, 468, 232
7679, 468, 232
7680, 468, 232
7681, 468, 232
7682, 468, 232
7683, 468, 232
7685, 466, 230
7686, 466, 230
7687, 466, 230
7688, 466, 230
7689, 466, 229
7690, 466, 229
7691, 466, 229
7692, 466, 229
7693, 466, 229
7694, 466, 229
7695, 465, 229
7697, 464, 227
7698, 464, 227
7699, 464, 227
7700, 464, 227
7701, 463, 226
7702, 463, 226
7703, 463, 226
7704, 462, 226
7705, 461, 224
7706, 461, 224
7707, 461, 224
7708, 461, 224
7709, 458, 221
7710, 458, 221
7711, 458, 221
7712, 458, 221
7713, 456, 219
7714, 456, 219
7715, 456, 219
7716, 456, 218
7717, 455, 217
7718, 455, 217
7719, 455, 217
7721, 459, 218
7722, 459, 218
7723, 459, 218
7724, 459, 218
7725, 459, 218
7726, 459, 218
7727, 459, 218
7729, 458, 216
7733, 457, 215
7734, 457, 215
7735, 457, 215
7737, 458, 215
7738, 458, 215
7741, 461, 216
7742, 461, 216
7743, 461, 216
7744, 461, 216
7745, 461, 217
7746, 461, 217
7747, 462, 217
7748, 462, 217
