# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
38685, 113, 126
38686, 113, 126
38687, 113, 126
38688, 113, 126
38689, 112, 127
38690, 112, 127
38691, 112, 127
38693, 111, 127
38694, 111, 127
38695, 110, 128
38697, 110, 128
38698, 110, 128
38699, 110, 128
38705, 109, 129
38706, 109, 129
38707, 109, 129
38708, 109, 129
38709, 114, 115
38710, 114, 115
38711, 114, 115
38713, 108, 131
38714, 108, 131
38715, 109, 131
38717, 107, 131
38718, 107, 131
38719, 106, 131
38721, 106, 131
38722, 106, 131
38725, 108, 132
38726, 108, 132
38727, 108, 132
38728, 109, 133
38729, 107, 133
38730, 107, 133
38731, 107, 133
38733, 106, 134
38734, 106, 134
38735, 106, 134
38737, 105, 133
38738, 105, 133
38739, 105, 133
38740, 104, 134
38741, 106, 134
38742, 106, 134
38743, 106, 134
38745, 104, 135
38746, 104, 135
38747, 104, 135
38748, 105, 135
38749, 106, 129
38750, 106, 129
38751, 106, 129
38753, 104, 136
38754, 104, 136
38755, 104, 136
38757, 105, 131
38758, 105, 131
38759, 105, 131
38760, 105, 131
38761, 104, 130
38762, 104, 130
38763, 104, 130
38765, 103, 131
38766, 102, 138
38767, 102, 138
38768, 102, 138
38769, 104, 131
38770, 102, 132
38771, 102, 132
38772, 102, 131
38773, 103, 132
38777, 102, 133
38778, 100, 139
38779, 100, 139
38780, 100, 139
38781, 99, 138
38782, 99, 138
38783, 99, 138
38784, 99, 138
38785, 101, 133
38786, 101, 133
38787, 100, 133
38788, 100, 133
38789, 99, 133
38790, 99, 133
38791, 99, 133
38792, 99, 133
38793, 99, 134
38794, 99, 134
38795, 99, 134
38796, 99, 134
38797, 99, 135
38798, 99, 135
38799, 99, 135
38800, 99, 135
38801, 99, 136
38802, 99, 136
38803, 99, 136
38804, 100, 136
38805, 99, 136
38806, 90, 139
38807, 90, 139
38808, 90, 139
38809, 99, 138
38813, 97, 140
38814, 97, 140
38815, 97, 140
38816, 97, 140
38817, 96, 137
38818, 96, 137
38819, 96, 137
38820, 97, 138
38821, 95, 137
38822, 95, 137
38823, 96, 137
38824, 96, 137
38825, 96, 137
38826, 95, 138
