# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
20764, 306, 251
20765, 301, 240
20766, 301, 240
20767, 301, 240
20769, 292, 244
20770, 292, 244
20771, 292, 244
20773, 294, 244
20774, 294, 244
20775, 294, 244
20776, 295, 245
20777, 296, 245
20778, 296, 245
20779, 296, 245
20780, 296, 245
20781, 297, 245
20782, 298, 245
20783, 298, 245
20784, 298, 245
20785, 305, 241
20786, 305, 241
20787, 305, 241
20788, 305, 241
20789, 305, 241
20790, 305, 241
20791, 305, 241
20792, 300, 244
20793, 302, 243
20794, 302, 243
20795, 302, 243
20796, 303, 244
20797, 303, 245
20798, 303, 245
20799, 303, 245
20800, 303, 246
20801, 303, 246
20802, 303, 246
20803, 303, 246
20817, 306, 244
20818, 306, 244
20819, 306, 244
20821, 307, 244
20822, 307, 244
20823, 307, 245
20825, 308, 244
20826, 308, 244
20827, 308, 244
20829, 308, 243
20830, 308, 243
20831, 308, 243
20832, 308, 243
20833, 309, 243
20834, 309, 243
20835, 322, 248
20837, 321, 247
20838, 321, 247
20839, 321, 247
20840, 321, 246
20841, 320, 245
20842, 320, 245
20843, 320, 245
20844, 320, 244
20845, 309, 241
20846, 309, 241
20847, 309, 241
20848, 307, 240
20849, 309, 239
20850, 309, 239
20851, 309, 239
20852, 309, 238
20853, 309, 239
20854, 309, 239
20855, 309, 239
20857, 310, 238
20858, 310, 239
20859, 310, 238
20861, 311, 238
20862, 311, 238
20863, 311, 238
20864, 312, 238
20865, 313, 238
20866, 313, 238
20867, 313, 238
20868, 320, 239
20869, 320, 239
20870, 320, 238
20873, 315, 237
20874, 315, 237
20875, 315, 237
20876, 317, 238
20877, 314, 236
20878, 314, 236
20879, 314, 236
20880, 314, 236
20881, 314, 235
20882, 314, 235
20883, 314, 235
20884, 316, 235
20885, 308, 234
20886, 308, 234
20887, 307, 234
20888, 307, 234
20889, 306, 234
20890, 306, 234
20891, 306, 234
20892, 305, 234
20893, 305, 233
20894, 305, 233
20895, 305, 233
20896, 305, 231
20897, 305, 231
20898, 305, 231
20899, 305, 231
20900, 305, 230
20901, 305, 230
20902, 305, 230
20903, 305, 230
20904, 306, 229
20905, 306, 229
20909, 307, 228
20910, 307, 228
20911, 307, 228
20912, 307, 228
20913, 307, 227
20914, 307, 227
20915, 307, 227
20917, 309, 227
20918, 309, 227
20919, 309, 228
20921, 309, 227
20922, 309, 227
20923, 309, 227
20924, 309, 227
20925, 310, 226
20926, 310, 226
20927, 310, 226
20929, 310, 226
20930, 310, 226
20931, 310, 226
20933, 311, 225
20934, 311, 225
20935, 312, 225
20937, 312, 224
20938, 312, 224
20939, 312, 224
20940, 313, 224
20941, 313, 223
20942, 313, 223
