# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
16229, 298, 476
16230, 298, 476
16231, 298, 476
16233, 299, 476
16234, 299, 476
16241, 309, 484
16242, 309, 484
16245, 310, 484
16246, 310, 484
16247, 310, 484
16249, 311, 484
16250, 311, 484
16251, 311, 484
16257, 302, 476
16258, 302, 476
16261, 304, 476
16262, 304, 476
16263, 304, 476
16265, 315, 483
16266, 315, 483
16267, 315, 483
16268, 315, 483
16269, 316, 482
16270, 316, 482
16271, 316, 482
16272, 316, 482
16273, 305, 475
16274, 305, 475
16275, 305, 475
16277, 307, 476
16278, 307, 476
16279, 307, 476
16281, 308, 476
16282, 308, 476
16283, 308, 476
16285, 308, 476
16286, 308, 476
16287, 319, 482
16289, 309, 476
16290, 309, 476
16291, 320, 482
16293, 310, 475
16294, 310, 475
16295, 310, 475
16296, 310, 475
16297, 311, 475
16298, 311, 475
16299, 311, 475
16300, 311, 475
16301, 312, 475
16302, 312, 475
16303, 312, 475
16305, 313, 475
16306, 313, 475
16307, 313, 475
16309, 315, 475
16310, 315, 475
16311, 315, 475
16312, 326, 480
16313, 315, 475
16314, 315, 475
16315, 315, 475
16317, 317, 474
16318, 317, 474
16319, 317, 474
16320, 317, 474
16321, 318, 474
16322, 318, 474
16323, 318, 474
16324, 330, 479
16325, 318, 474
16326, 318, 474
16327, 319, 474
16328, 319, 474
16329, 320, 473
16330, 320, 473
16331, 320, 473
16333, 321, 474
16334, 321, 474
16335, 321, 474
16336, 332, 477
16337, 333, 477
16338, 333, 477
16339, 333, 477
16340, 333, 477
16341, 323, 473
16342, 323, 473
16343, 323, 474
16344, 323, 474
16345, 324, 474
16346, 324, 474
16347, 324, 474
16348, 324, 474
16349, 325, 473
16350, 325, 473
16351, 325, 474
16353, 326, 473
16354, 326, 473
16355, 326, 473
16356, 338, 477
16357, 327, 473
16358, 327, 473
16359, 327, 473
16360, 327, 473
16361, 328, 473
16362, 328, 473
16363, 329, 473
16364, 329, 473
16365, 329, 472
16366, 329, 472
16367, 329, 472
16368, 340, 475
16369, 330, 473
16370, 330, 473
16371, 330, 473
16373, 341, 474
16374, 341, 474
16385, 333, 473
16386, 333, 473
16387, 333, 472
16388, 333, 472
16389, 334, 473
16405, 337, 473
16406, 337, 473
16407, 337, 472
16441, 351, 471
16442, 351, 471
16443, 351, 471
16444, 351, 471
16445, 353, 477
16446, 353, 477
16447, 353, 477
16448, 353, 477
16449, 353, 481
16450, 353, 481
16451, 353, 481
16452, 353, 481
16453, 352, 485
16454, 352, 485
16455, 352, 485
16456, 352, 485
16457, 352, 486
16458, 352, 486
16459, 352, 486
16460, 352, 486
16461, 353, 486
16462, 353, 486
16463, 353, 486
