# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
47313, 342, 482
47314, 342, 482
47315, 341, 482
47316, 341, 482
47321, 339, 469
47322, 339, 469
47323, 339, 469
47324, 339, 469
47325, 338, 466
47326, 338, 466
47327, 338, 466
47328, 338, 466
47329, 337, 463
47330, 337, 463
47331, 337, 463
47332, 337, 463
47333, 337, 463
47334, 337, 463
47335, 337, 463
47336, 337, 462
47337, 338, 462
47338, 338, 462
47339, 338, 462
47349, 341, 465
47350, 341, 465
47351, 341, 465
47352, 341, 465
47353, 341, 465
47357, 342, 466
47358, 342, 466
47359, 342, 466
47361, 340, 466
47362, 340, 467
47363, 340, 467
47364, 340, 467
47369, 341, 468
47370, 341, 468
47371, 341, 468
47372, 340, 468
47373, 341, 469
47374, 342, 469
47375, 342, 469
47376, 342, 469
47377, 342, 469
47378, 342, 469
47379, 342, 469
47380, 342, 470
47389, 342, 471
47390, 342, 471
47391, 342, 471
47392, 342, 471
47393, 342, 472
47394, 342, 472
47395, 342, 472
47396, 342, 472
47397, 341, 472
47398, 341, 472
47405, 343, 472
47406, 343, 472
47407, 343, 472
47408, 343, 472
47501, 345, 478
47502, 345, 478
47503, 345, 478
47504, 345, 478
47505, 347, 479
47506, 347, 479
47507, 347, 479
47509, 345, 479
47510, 345, 479
47513, 346, 480
47514, 346, 480
47515, 346, 481
47537, 347, 483
47538, 347, 483
47549, 360, 489
47550, 360, 489
47551, 360, 489
47552, 360, 489
47553, 360, 490
47554, 360, 490
47555, 360, 490
47597, 363, 488
47598, 363, 488
47599, 363, 488
47625, 357, 484
47626, 357, 484
47627, 357, 484
47628, 357, 484
47629, 356, 484
47630, 355, 484
47631, 355, 484
47632, 355, 484
47633, 357, 483
47634, 357, 483
47635, 356, 482
47641, 360, 483
47642, 360, 483
47643, 360, 483
47644, 360, 483
47645, 360, 484
47646, 360, 484
47647, 360, 484
47649, 362, 484
47650, 362, 484
47669, 365, 486
47670, 365, 486
47673, 365, 486
47674, 365, 486
47681, 366, 485
47682, 366, 485
47683, 366, 485
47684, 366, 484
47697, 366, 485
47698, 366, 485
47699, 366, 485
47700, 366, 485
47701, 368, 485
47702, 368, 485
47703, 368, 485
47705, 366, 486
47706, 366, 486
47707, 366, 486
47721, 368, 487
47722, 368, 487
47723, 368, 487
47724, 366, 488
47725, 367, 488
47726, 367, 488
47727, 367, 488
47729, 370, 487
47730, 370, 487
47731, 371, 487
47732, 371, 487
47733, 371, 488
47734, 371, 488
47735, 371, 488
47737, 374, 488
47738, 374, 488
47739, 372, 489
47740, 374, 488
47741, 373, 490
47742, 375, 489
47743, 375, 489
47744, 376, 489
47745, 376, 489
47746, 376, 489
47753, 375, 491
47754, 375, 491
47755, 375, 491
47756, 375, 491
47757, 377, 491
47758, 377, 491
47761, 376, 490
47762, 375, 490
47775, 380, 490
47781, 382, 491
47782, 382, 491
47783, 381, 491
47784, 382, 491
47785, 382, 491
47786, 382, 491
47789, 382, 491
47790, 382, 491
47791, 382, 491
47793, 384, 492
47794, 384, 492
47795, 384, 492
47805, 385, 491
47806, 385, 491
47807, 385, 491
47809, 382, 493
47813, 388, 493
47814, 388, 493
47815, 388, 493
47816, 384, 494
47821, 389, 493
47822, 389, 493
47823, 389, 493
47825, 389, 492
47826, 389, 492
47827, 389, 492
47833, 390, 492
47834, 390, 492
47837, 392, 493
47838, 392, 493
47839, 392, 493
47841, 392, 492
47842, 392, 492
47857, 394, 492
47858, 394, 492
47861, 394, 492
47862, 394, 492
47863, 394, 492
47865, 395, 492
47866, 395, 492
47873, 394, 490
47874, 394, 490
47877, 395, 490
47878, 395, 490
47879, 395, 490
