# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
36829, 449, 273
36830, 449, 273
36831, 449, 273
36832, 449, 273
36833, 450, 273
36834, 450, 273
36835, 450, 273
36836, 451, 272
36837, 451, 272
36838, 451, 272
36839, 451, 272
36841, 452, 271
36842, 452, 271
36843, 452, 270
36845, 452, 269
36846, 452, 269
36847, 452, 269
36848, 452, 269
36849, 452, 268
36850, 452, 268
36851, 452, 268
36852, 452, 267
36853, 453, 267
36854, 453, 267
36855, 453, 267
36857, 454, 267
36858, 454, 267
36859, 454, 267
36861, 455, 266
36862, 455, 266
36863, 455, 266
36864, 455, 266
36865, 456, 266
36866, 456, 266
36867, 456, 265
36868, 457, 265
36869, 458, 264
36870, 458, 264
36871, 458, 264
36872, 459, 263
36873, 459, 263
36874, 459, 263
36875, 459, 263
36876, 459, 263
36877, 460, 262
36878, 460, 262
36879, 461, 262
36880, 461, 262
36881, 461, 261
36882, 461, 261
36883, 461, 261
36884, 462, 261
36885, 462, 260
36886, 462, 260
36887, 462, 259
36888, 462, 259
36889, 463, 260
36890, 463, 260
36891, 463, 260
36892, 464, 259
36893, 464, 259
36894, 464, 259
36895, 464, 258
36896, 465, 258
36897, 466, 259
36898, 466, 259
36899, 466, 259
36901, 467, 258
36902, 467, 258
36905, 468, 257
36906, 468, 257
36907, 468, 257
36908, 468, 257
36909, 468, 257
36910, 468, 257
36911, 469, 257
36913, 470, 256
36914, 470, 255
36915, 470, 255
36929, 472, 254
36930, 472, 254
36931, 472, 254
36932, 472, 254
36933, 473, 254
36934, 473, 254
36951, 474, 250
36953, 474, 250
36954, 474, 250
36961, 477, 248
36962, 477, 248
36963, 477, 248
36965, 477, 247
36966, 477, 247
36967, 477, 247
36968, 477, 247
36973, 479, 245
36974, 479, 245
36975, 480, 245
36976, 480, 245
36977, 481, 243
36978, 481, 243
36979, 481, 243
36980, 481, 243
36981, 482, 242
36982, 482, 242
36983, 482, 242
36984, 482, 242
36985, 483, 241
36986, 483, 241
36987, 483, 241
36988, 483, 240
36989, 483, 240
36990, 483, 240
36991, 483, 240
36993, 483, 239
36994, 483, 239
36995, 483, 239
36996, 483, 239
36997, 484, 238
36998, 484, 238
36999, 484, 238
37005, 484, 236
37006, 484, 236
37007, 485, 236
37008, 485, 236
37009, 485, 236
37010, 485, 236
37011, 485, 236
37013, 485, 235
37014, 485, 235
37017, 485, 234
37018, 485, 234
37019, 485, 234
37033, 486, 232
37034, 486, 232
37035, 486, 232
37036, 486, 232
37037, 486, 230
37038, 486, 230
37039, 486, 230
37040, 486, 229
37045, 486, 229
37046, 486, 229
37047, 486, 229
37048, 486, 229
37049, 486, 228
37050, 486, 228
37051, 486, 228
37057, 488, 226
37058, 488, 226
37059, 488, 226
37060, 488, 226
37061, 488, 226
37062, 488, 225
37063, 488, 225
37064, 488, 225
37065, 488, 225
37066, 488, 225
37073, 489, 223
37074, 489, 223
37075, 489, 223
37076, 489, 223
37077, 489, 222
37078, 489, 222
37079, 489, 222
37080, 489, 221
37081, 488, 220
37082, 488, 220
37083, 488, 220
37089, 489, 218
37090, 489, 218
37091, 489, 218
37092, 489, 218
37093, 489, 218
37094, 489, 218
37095, 489, 217
37097, 488, 217
37098, 488, 217
37101, 487, 217
37102, 487, 217
37103, 487, 217
37104, 487, 216
37105, 474, 213
37106, 474, 213
37107, 474, 213
37108, 474, 213
37109, 474, 213
37110, 474, 213
37111, 474, 213
37112, 487, 214
37113, 475, 213
37114, 475, 213
37115, 475, 213
37116, 474, 213
37117, 475, 211
37118, 475, 211
37119, 475, 211
37120, 488, 212
37121, 476, 211
37122, 476, 211
37123, 476, 211
37125, 476, 209
37126, 476, 209
37127, 476, 209
37128, 477, 209
37129, 477, 210
37130, 477, 210
37131, 477, 210
37132, 490, 210
37133, 490, 209
37134, 490, 209
37135, 490, 209
37136, 489, 208
37137, 478, 209
37138, 478, 209
37139, 478, 208
37140, 478, 208
37141, 491, 206
37142, 491, 206
37143, 491, 205
37144, 491, 205
37145, 491, 204
37146, 491, 204
37147, 491, 204
37148, 491, 204
37149, 492, 203
37150, 492, 203
37151, 492, 203
37152, 481, 205
37153, 494, 202
37154, 493, 202
37155, 494, 202
37156, 494, 202
37157, 494, 201
37158, 494, 201
37159, 494, 201
37160, 494, 201
37161, 483, 203
37162, 483, 203
37163, 483, 203
37164, 483, 201
37165, 484, 202
37166, 484, 202
37167, 484, 201
37169, 486, 201
37170, 486, 201
37171, 486, 200
37173, 486, 199
37174, 486, 199
37175, 486, 199
37176, 486, 199
37177, 487, 198
37178, 487, 198
37179, 487, 198
37180, 487, 197
37181, 488, 197
37182, 488, 197
37183, 488, 197
37184, 488, 196
37185, 489, 195
37186, 489, 195
37187, 489, 195
37188, 489, 195
37189, 485, 194
37190, 485, 194
37191, 485, 194
37192, 485, 194
37193, 483, 193
37194, 483, 193
37195, 483, 193
37196, 483, 193
37197, 482, 192
37198, 482, 192
37199, 481, 192
