# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
8742, 301, 92
8743, 301, 92
8744, 301, 92
8745, 300, 92
8746, 300, 92
8747, 299, 92
8749, 300, 93
8750, 300, 94
8751, 300, 94
8752, 300, 94
8753, 301, 93
8754, 301, 93
8755, 301, 94
8756, 301, 94
8757, 303, 93
8758, 303, 93
8759, 304, 92
8760, 304, 92
8761, 305, 92
8762, 305, 92
8763, 305, 92
8764, 305, 92
8765, 305, 92
8766, 305, 92
8767, 305, 92
8777, 307, 92
8778, 307, 92
8779, 307, 92
8781, 307, 91
8782, 307, 91
8783, 307, 91
8784, 307, 91
8785, 307, 91
8786, 307, 91
8787, 307, 90
8789, 308, 91
8790, 308, 91
8791, 309, 91
8792, 309, 90
8793, 310, 91
8794, 310, 91
8795, 310, 91
8796, 310, 91
8797, 310, 90
8798, 310, 90
8799, 310, 90
8800, 311, 92
8801, 310, 90
8802, 310, 90
8803, 310, 90
8805, 311, 88
8806, 311, 88
8807, 311, 88
8808, 311, 88
8809, 312, 89
8810, 312, 89
8811, 312, 89
8812, 313, 89
8813, 314, 89
8814, 314, 89
8815, 314, 89
8816, 314, 89
8817, 314, 88
8818, 314, 88
8819, 314, 88
8821, 313, 88
8822, 313, 88
8823, 313, 87
8825, 315, 86
8826, 315, 86
8827, 315, 86
8829, 315, 86
8830, 315, 86
8831, 315, 86
8837, 316, 85
8838, 316, 85
8839, 316, 85
8840, 316, 85
8841, 317, 85
8842, 317, 85
8843, 317, 85
8844, 318, 84
8845, 318, 85
8846, 318, 85
8847, 318, 84
8849, 320, 85
8850, 320, 85
8851, 320, 85
8852, 320, 84
8853, 321, 84
8854, 321, 84
8855, 321, 84
8856, 321, 84
8857, 321, 83
8858, 321, 83
8859, 321, 83
8860, 322, 82
8861, 321, 82
8862, 321, 82
8863, 321, 82
8865, 322, 82
8866, 322, 82
8867, 323, 83
8868, 323, 83
8869, 324, 82
8870, 324, 82
8871, 325, 82
8872, 325, 82
8873, 324, 82
8874, 324, 82
8875, 324, 82
8877, 324, 82
8878, 324, 82
8881, 325, 80
8882, 325, 80
8883, 325, 80
8884, 325, 80
8885, 326, 79
8886, 326, 79
8887, 326, 79
8897, 329, 78
8898, 329, 78
8899, 329, 78
8900, 329, 78
8901, 329, 78
