# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
35097, 91, 329
35098, 91, 329
35101, 91, 328
35113, 90, 328
35114, 90, 328
35115, 90, 328
35116, 90, 327
35117, 90, 327
35118, 90, 327
35119, 90, 327
35121, 89, 327
35122, 89, 327
35129, 89, 326
35130, 89, 326
35131, 89, 326
35132, 89, 326
35133, 89, 326
35134, 89, 326
35135, 89, 326
35137, 89, 326
35138, 89, 326
35139, 89, 326
35140, 88, 324
35141, 89, 325
35142, 89, 325
35143, 89, 325
35146, 88, 324
35153, 90, 324
35154, 90, 324
35155, 90, 324
35156, 88, 324
35157, 89, 323
35158, 89, 323
35159, 89, 323
35160, 90, 323
35161, 88, 323
35162, 88, 323
35169, 90, 321
35170, 90, 321
35171, 90, 321
35173, 88, 322
35174, 88, 322
35175, 88, 321
35177, 87, 323
35178, 87, 323
35179, 87, 323
35180, 87, 323
35181, 87, 321
35182, 87, 320
35183, 87, 320
35184, 86, 320
35185, 86, 321
35186, 86, 322
35189, 86, 320
35190, 86, 320
35191, 86, 320
35193, 85, 319
35194, 85, 319
35195, 85, 320
35196, 84, 319
35197, 83, 321
35198, 83, 321
35199, 83, 321
35200, 82, 321
35201, 84, 320
35202, 84, 320
35203, 84, 320
35205, 84, 319
35206, 84, 319
35207, 84, 319
35213, 84, 319
35214, 84, 319
35215, 84, 319
35216, 84, 319
35217, 84, 318
35218, 83, 318
35221, 83, 318
35222, 83, 318
35223, 83, 318
35225, 83, 317
35226, 83, 317
35227, 83, 317
35229, 81, 317
35230, 81, 317
35231, 81, 317
35233, 83, 317
35234, 83, 317
35235, 83, 317
35236, 83, 316
35237, 81, 316
35238, 81, 316
35239, 81, 316
35241, 82, 316
35242, 82, 316
35243, 82, 316
35245, 82, 314
35246, 81, 314
35257, 82, 313
35258, 82, 313
35259, 82, 313
35260, 82, 313
35261, 84, 313
35262, 84, 313
35263, 84, 313
35273, 82, 313
35274, 82, 313
35277, 83, 312
35278, 83, 312
35279, 83, 312
35280, 83, 312
35281, 82, 312
35282, 82, 312
35283, 82, 311
35284, 82, 311
35285, 81, 312
35286, 81, 312
35287, 81, 312
35288, 81, 312
35289, 81, 311
35290, 81, 311
35291, 82, 311
35293, 81, 310
35294, 81, 310
35295, 81, 310
35297, 81, 310
35298, 80, 310
35299, 80, 310
35301, 81, 309
35302, 81, 309
35303, 81, 309
35304, 81, 308
35305, 81, 308
35306, 81, 308
35307, 81, 308
35308, 80, 308
35309, 81, 306
35310, 81, 306
35311, 81, 306
35312, 81, 305
35313, 81, 305
35314, 81, 305
35315, 81, 305
35316, 81, 305
35317, 81, 303
35318, 81, 303
35319, 81, 303
35320, 81, 302
35321, 80, 301
35322, 80, 301
35323, 80, 301
35324, 80, 300
35325, 81, 289
35326, 81, 289
35327, 81, 289
35328, 80, 298
35329, 78, 289
35330, 78, 289
35331, 79, 296
35332, 79, 295
35333, 78, 293
35334, 78, 293
35335, 79, 296
35336, 77, 293
35337, 77, 292
35338, 77, 292
35339, 77, 292
35340, 76, 293
35341, 74, 296
35342, 74, 296
35343, 75, 295
35345, 73, 296
35346, 73, 296
35347, 73, 296
35348, 73, 297
35349, 72, 295
35350, 72, 295
35351, 72, 295
35352, 72, 295
35353, 73, 295
35354, 73, 295
35355, 73, 295
35356, 74, 293
35357, 73, 293
35358, 74, 293
35359, 74, 292
35365, 70, 294
35366, 70, 294
35367, 70, 294
35368, 70, 294
35369, 70, 294
35370, 70, 294
35371, 70, 294
35372, 70, 294
35381, 73, 290
35382, 73, 290
35383, 73, 290
35384, 73, 290
35385, 74, 290
35386, 74, 290
35387, 74, 289
35409, 69, 291
35410, 69, 291
35411, 69, 291
35412, 69, 291
35413, 69, 293
35414, 69, 293
35415, 69, 293
35416, 69, 292
35417, 69, 292
35418, 69, 292
35437, 68, 295
35438, 68, 295
35439, 68, 295
35440, 67, 295
35441, 67, 295
35442, 67, 295
35443, 68, 295
35444, 68, 295
35445, 68, 294
35446, 68, 294
35447, 68, 294
35485, 65, 291
35486, 65, 291
35487, 65, 291
35488, 65, 291
35489, 66, 292
35490, 66, 292
35491, 66, 292
35492, 66, 292
35493, 63, 292
35494, 63, 292
35495, 63, 292
