# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
20764, 324, 307
20765, 313, 305
20766, 313, 305
20767, 313, 305
20768, 313, 305
20769, 315, 307
20770, 315, 307
20771, 315, 307
20772, 315, 308
20773, 325, 305
20774, 325, 305
20775, 325, 305
20777, 325, 304
20778, 325, 304
20779, 325, 304
20781, 322, 309
20785, 316, 302
20786, 324, 310
20787, 324, 310
20788, 324, 310
20789, 325, 310
20790, 325, 310
20791, 325, 310
20792, 326, 310
20793, 325, 302
20794, 325, 302
20795, 325, 302
20796, 327, 309
20797, 328, 309
20798, 328, 309
20799, 328, 309
20800, 329, 309
20801, 324, 301
20802, 324, 301
20803, 324, 301
20804, 329, 308
20805, 330, 307
20806, 330, 307
20807, 330, 307
20808, 330, 307
20809, 330, 306
20810, 330, 306
20813, 321, 302
20814, 321, 302
20815, 321, 302
20817, 330, 305
20818, 330, 305
20819, 330, 305
20821, 328, 311
20822, 328, 311
20823, 328, 311
20824, 329, 311
20825, 330, 302
20826, 330, 302
20827, 330, 302
20828, 330, 302
20829, 329, 302
20830, 329, 302
20831, 330, 301
20832, 330, 301
20833, 333, 310
20834, 333, 310
20835, 333, 310
20836, 333, 309
20837, 334, 308
20838, 334, 308
20839, 334, 308
20840, 334, 308
20841, 334, 308
20842, 334, 308
20845, 335, 305
20846, 335, 305
20847, 335, 305
20848, 335, 305
20849, 334, 305
20850, 334, 305
20851, 328, 311
20853, 334, 304
20854, 334, 304
20855, 334, 304
20865, 335, 311
20866, 335, 311
20867, 335, 311
20868, 335, 311
20869, 337, 310
20870, 337, 310
20871, 337, 310
20872, 337, 310
20873, 337, 309
20874, 338, 308
20875, 338, 308
20877, 338, 307
20878, 338, 307
20879, 338, 307
20881, 338, 306
20882, 338, 306
20883, 338, 306
20885, 339, 305
20886, 339, 305
20887, 339, 305
20889, 337, 312
20890, 337, 312
20891, 337, 312
20893, 337, 304
20894, 337, 304
20897, 340, 310
20898, 340, 310
20899, 340, 310
20900, 340, 310
20901, 340, 309
20902, 341, 309
20903, 340, 309
20905, 342, 309
20906, 342, 309
20907, 342, 309
20908, 342, 308
20909, 341, 306
20910, 341, 306
20911, 341, 306
20912, 341, 306
20913, 341, 306
20914, 341, 305
20915, 341, 305
20917, 340, 313
20918, 340, 313
20919, 340, 313
20920, 340, 313
20921, 342, 303
20922, 342, 303
20923, 341, 313
20924, 341, 314
20925, 343, 313
20926, 343, 313
20927, 343, 313
20928, 344, 312
20929, 344, 312
20930, 344, 312
20931, 345, 312
20932, 345, 311
20933, 345, 310
20934, 345, 310
20935, 345, 310
20936, 346, 310
20937, 346, 310
20938, 346, 310
20939, 346, 310
20941, 347, 309
20942, 347, 308
20943, 347, 308
20944, 348, 308
20945, 347, 307
20946, 347, 307
20947, 347, 307
20948, 342, 315
20949, 346, 306
20950, 346, 306
20951, 346, 306
20952, 345, 315
20953, 346, 306
20954, 346, 306
20955, 345, 306
20956, 346, 315
20957, 347, 315
20958, 347, 315
20959, 347, 315
20960, 348, 315
20961, 348, 315
20962, 348, 315
20963, 348, 315
20964, 349, 314
20965, 345, 307
20966, 345, 307
20967, 345, 307
20968, 345, 307
20969, 344, 308
20970, 344, 308
20971, 344, 308
20972, 351, 313
20973, 352, 313
20974, 352, 313
20975, 352, 313
20976, 352, 313
20977, 351, 311
20978, 351, 311
20979, 351, 311
20980, 351, 309
20981, 351, 309
20982, 351, 309
20983, 350, 318
20985, 351, 316
20986, 351, 316
20987, 351, 316
20988, 352, 316
20989, 353, 316
20990, 353, 316
20991, 353, 316
20992, 353, 316
20993, 350, 308
20994, 350, 308
20995, 353, 316
20996, 353, 315
20997, 354, 314
20998, 354, 314
20999, 354, 314
21000, 354, 314
21001, 355, 313
21002, 355, 313
21003, 355, 313
21004, 356, 313
21005, 356, 313
21006, 356, 313
21007, 356, 312
21008, 353, 319
21024, 360, 316
21025, 360, 315
21026, 360, 315
21027, 360, 315
21028, 361, 315
21029, 361, 314
21030, 361, 314
21031, 361, 314
21032, 362, 314
21033, 360, 313
21034, 360, 313
21035, 360, 313
21037, 358, 315
21038, 361, 311
21039, 361, 311
21040, 355, 314
21041, 362, 319
21042, 362, 319
21043, 362, 319
21044, 362, 319
21045, 363, 318
21046, 363, 318
21047, 363, 318
21048, 364, 318
21049, 364, 318
21050, 365, 318
21051, 365, 318
21052, 366, 318
21053, 366, 317
21054, 366, 317
21055, 366, 317
21056, 366, 317
21057, 367, 316
21058, 367, 316
21059, 367, 316
21060, 367, 315
21061, 368, 316
21062, 368, 316
21063, 368, 316
21064, 366, 322
21065, 367, 318
21066, 367, 318
21067, 367, 318
21068, 368, 318
21069, 369, 318
21070, 368, 318
21071, 369, 318
21072, 369, 321
21073, 370, 317
21074, 370, 317
21075, 370, 317
21076, 372, 319
21077, 370, 319
21078, 370, 319
21079, 370, 319
21080, 373, 319
21081, 372, 320
21082, 372, 320
21083, 372, 320
21084, 373, 319
21085, 373, 320
21086, 373, 320
21087, 373, 320
21088, 374, 317
21089, 374, 320
21090, 374, 320
21091, 374, 320
21092, 375, 323
21093, 376, 319
21094, 376, 319
21095, 376, 321
21096, 377, 321
21097, 378, 321
21098, 378, 321
21099, 378, 321
21100, 379, 321
21101, 377, 322
21102, 377, 322
21103, 377, 322
21104, 380, 321
21105, 379, 322
21106, 379, 322
21107, 379, 322
21108, 377, 325
21109, 379, 319
21110, 379, 319
21111, 379, 319
21112, 380, 325
21113, 381, 325
21114, 381, 325
21115, 381, 325
21116, 382, 325
21117, 383, 325
21118, 383, 325
21119, 383, 324
21120, 384, 324
21121, 383, 325
21122, 383, 325
21123, 383, 325
21124, 383, 325
21125, 383, 326
21126, 383, 326
21127, 383, 326
21128, 382, 328
21129, 386, 325
21130, 386, 325
21131, 386, 325
21132, 386, 327
21133, 387, 326
21134, 387, 326
21135, 387, 326
21136, 388, 326
21137, 387, 328
21138, 387, 328
21139, 387, 328
21140, 387, 328
21141, 389, 328
21142, 389, 328
21143, 389, 328
21144, 388, 331
21145, 391, 325
21146, 391, 325
21147, 391, 325
21148, 391, 324
21149, 392, 324
21150, 392, 324
21151, 392, 324
21152, 393, 331
21153, 392, 329
21154, 392, 329
21155, 392, 329
21156, 395, 329
21181, 404, 328
21182, 404, 328
21183, 404, 328
21184, 404, 327
21185, 407, 325
21186, 407, 325
21187, 407, 325
21188, 407, 325
21189, 409, 325
21190, 409, 325
21191, 409, 325
21192, 409, 325
21193, 410, 325
21194, 410, 325
21195, 410, 325
21196, 411, 325
21197, 412, 325
21198, 412, 325
21199, 412, 325
21200, 412, 325
21201, 413, 326
21202, 413, 326
21203, 413, 326
21205, 414, 325
21206, 414, 325
21207, 414, 325
21209, 414, 327
21210, 414, 327
21217, 416, 326
21218, 416, 326
21221, 417, 327
21222, 417, 327
21223, 417, 326
21229, 417, 327
21230, 417, 327
21231, 417, 327
21232, 417, 327
21233, 419, 327
21234, 419, 327
21235, 419, 327
21236, 419, 327
21237, 421, 328
21238, 421, 328
21239, 421, 328
21240, 421, 328
21241, 422, 328
21242, 422, 328
21243, 422, 328
21245, 423, 328
21246, 423, 327
21247, 423, 328
21249, 425, 328
21250, 425, 328
21251, 425, 328
21252, 425, 328
21253, 426, 328
21254, 426, 328
21255, 426, 328
21256, 426, 328
21257, 428, 329
21258, 428, 329
21259, 428, 329
21260, 429, 329
21261, 429, 329
21262, 429, 329
21263, 429, 329
21264, 430, 329
21265, 432, 330
21266, 432, 330
21267, 432, 330
21268, 432, 330
21269, 433, 330
21270, 433, 330
21271, 433, 330
21272, 434, 331
21273, 435, 332
21274, 435, 332
21275, 435, 332
21276, 436, 332
21277, 436, 332
21278, 436, 332
21279, 436, 332
21280, 437, 332
21281, 440, 333
21282, 440, 333
21283, 440, 333
21284, 441, 333
21285, 442, 334
21286, 442, 334
21287, 442, 334
21288, 442, 334
21289, 444, 335
21290, 444, 335
21291, 444, 335
21292, 444, 335
21293, 445, 336
21294, 445, 336
21295, 445, 336
21296, 445, 336
21297, 446, 337
21298, 446, 337
21299, 447, 337
21300, 447, 337
21301, 448, 337
21302, 448, 337
21303, 448, 337
21304, 448, 337
21305, 450, 338
21306, 450, 338
21307, 450, 338
21308, 451, 338
21309, 452, 339
21310, 452, 339
21311, 452, 339
21312, 452, 339
21313, 453, 340
21314, 453, 340
21315, 453, 340
21316, 454, 340
21317, 455, 340
21318, 455, 340
21319, 455, 340
21320, 455, 340
21321, 457, 342
21322, 457, 342
21323, 457, 342
21324, 457, 342
21325, 458, 342
21326, 458, 342
21327, 458, 342
21328, 458, 342
21329, 459, 343
21330, 459, 343
21331, 459, 343
21332, 460, 343
21333, 460, 343
21334, 460, 343
21335, 460, 343
21353, 462, 344
21354, 462, 344
21355, 462, 344
21356, 462, 344
21357, 463, 344
21358, 463, 344
21359, 463, 344
21360, 463, 344
21361, 463, 343
21362, 463, 343
21365, 464, 343
21366, 464, 343
21367, 464, 343
21369, 465, 344
21370, 465, 344
21385, 466, 345
21386, 466, 345
21387, 466, 345
21388, 466, 345
21413, 467, 348
21414, 467, 348
21415, 467, 348
21416, 467, 348
21422, 468, 349
21433, 466, 350
21434, 466, 350
21435, 466, 350
21436, 466, 350
21437, 467, 350
21438, 467, 351
21441, 468, 351
21442, 468, 351
21457, 468, 353
21458, 468, 353
21471, 468, 354
21473, 469, 354
21474, 469, 354
21475, 469, 354
21477, 468, 355
21478, 468, 355
21489, 469, 357
21490, 469, 357
21493, 469, 357
21494, 469, 357
21495, 469, 357
21501, 468, 357
21502, 468, 357
21503, 468, 356
21504, 468, 356
21505, 468, 358
21506, 468, 358
