# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
8214, 375, 252
8215, 375, 252
8216, 376, 252
8217, 376, 251
8218, 376, 251
8219, 376, 251
8220, 377, 251
8221, 377, 251
8222, 377, 251
8223, 377, 251
8225, 379, 250
8226, 379, 250
8227, 379, 250
8228, 379, 250
8229, 381, 249
8230, 381, 249
8231, 381, 249
8232, 381, 249
8233, 381, 249
8234, 381, 249
8235, 381, 249
8237, 383, 248
8238, 383, 248
8239, 383, 248
8240, 383, 248
8241, 384, 248
8242, 384, 248
8243, 384, 248
8244, 384, 248
8245, 384, 248
8246, 384, 248
8247, 385, 248
8248, 385, 248
8249, 385, 248
8250, 385, 248
8251, 386, 247
8253, 387, 246
8254, 387, 246
8255, 387, 246
8256, 388, 246
8257, 389, 247
8258, 389, 247
8259, 389, 247
8260, 389, 247
8261, 389, 246
8262, 389, 246
8263, 389, 246
8265, 390, 246
8266, 390, 246
8267, 390, 246
8269, 391, 246
8270, 391, 246
8271, 391, 246
8273, 392, 246
8274, 392, 246
8275, 392, 246
8277, 393, 245
8278, 393, 245
8279, 393, 245
8281, 393, 246
8282, 393, 246
8283, 393, 245
8289, 395, 245
8290, 395, 245
8291, 395, 246
8293, 396, 245
8294, 396, 245
8295, 396, 245
8296, 396, 245
8297, 396, 245
8298, 396, 245
8299, 396, 245
8301, 397, 245
8302, 397, 245
8303, 397, 245
8309, 399, 245
8310, 399, 245
8311, 399, 245
8313, 399, 245
8314, 399, 245
8315, 399, 245
8317, 399, 245
8318, 399, 245
8319, 399, 245
8329, 401, 244
8330, 401, 244
8331, 401, 244
8332, 401, 244
8333, 401, 244
8334, 401, 244
8335, 401, 244
8349, 403, 243
8350, 403, 243
8351, 403, 243
8357, 404, 242
8358, 404, 242
8359, 404, 242
8360, 404, 242
8361, 404, 242
8362, 405, 242
8363, 405, 242
8365, 405, 241
8366, 405, 241
8367, 405, 241
8368, 405, 241
8369, 405, 241
8370, 405, 241
8371, 405, 241
8377, 406, 240
8378, 406, 240
8379, 406, 240
8385, 406, 239
8386, 406, 239
8387, 406, 238
8389, 407, 239
8390, 407, 239
8391, 407, 239
8392, 407, 239
8393, 407, 238
8394, 407, 238
8395, 407, 238
8397, 407, 236
8398, 407, 236
8399, 407, 236
8405, 408, 235
8406, 408, 235
8407, 407, 235
8408, 407, 235
8409, 407, 235
8410, 407, 235
8411, 407, 235
8412, 407, 234
8413, 409, 234
8414, 409, 234
8415, 409, 234
8417, 409, 233
8418, 409, 233
8419, 409, 233
8420, 409, 233
8421, 409, 233
8422, 409, 233
8425, 409, 232
8426, 409, 232
8427, 409, 232
8429, 410, 230
8430, 410, 230
8431, 410, 230
8433, 410, 230
8434, 410, 230
8435, 410, 230
8437, 410, 228
8438, 410, 228
8439, 410, 228
8441, 410, 228
8442, 410, 228
8443, 410, 228
8445, 410, 227
8446, 410, 227
8447, 411, 227
8448, 411, 226
8449, 410, 226
8450, 410, 226
8451, 411, 225
8453, 411, 225
8454, 411, 225
8455, 411, 225
8456, 411, 225
8457, 411, 224
8458, 411, 224
8459, 412, 224
8461, 412, 224
8462, 412, 224
8463, 412, 224
8465, 412, 222
8466, 412, 222
8467, 412, 222
8468, 413, 222
8469, 413, 221
8470, 413, 221
8471, 413, 221
8473, 413, 220
8474, 413, 220
8475, 413, 220
8477, 414, 219
8478, 414, 219
8479, 414, 219
8481, 414, 218
8482, 414, 218
8483, 414, 218
8484, 414, 218
8485, 415, 217
8486, 415, 217
8487, 415, 217
8488, 415, 217
8489, 416, 216
8490, 416, 216
8491, 416, 216
8492, 416, 215
8493, 417, 215
8494, 417, 215
8495, 417, 215
8496, 417, 215
8497, 416, 214
8498, 416, 214
8499, 416, 214
8500, 417, 214
8501, 416, 213
8502, 416, 213
8503, 417, 213
8504, 417, 212
8505, 418, 213
8506, 418, 213
8507, 418, 213
8508, 418, 213
8509, 418, 212
8510, 418, 212
8511, 419, 212
8512, 419, 212
8513, 419, 211
8514, 419, 211
8515, 419, 211
8517, 419, 210
8518, 419, 210
8519, 419, 210
8520, 419, 210
8521, 420, 209
8522, 420, 209
8523, 420, 209
8524, 421, 209
8525, 421, 209
8526, 421, 208
8527, 421, 208
8529, 420, 207
8530, 420, 207
8533, 420, 207
8534, 420, 207
8535, 420, 207
8537, 421, 207
8538, 421, 207
8541, 422, 206
8542, 422, 206
8545, 422, 206
8546, 422, 206
8547, 422, 206
8548, 423, 206
8593, 420, 201
8594, 420, 201
8595, 420, 201
8596, 420, 201
8597, 420, 200
8598, 420, 200
8599, 420, 200
8617, 419, 199
8618, 419, 199
8619, 419, 199
8633, 420, 197
8634, 420, 197
8637, 419, 196
8638, 419, 196
8639, 419, 196
8640, 419, 196
8641, 419, 196
8642, 419, 196
8643, 419, 196
8649, 420, 194
8650, 420, 194
8651, 420, 194
8652, 420, 194
8653, 420, 193
8654, 420, 193
8655, 420, 193
8665, 419, 191
8666, 419, 191
8667, 419, 191
8668, 419, 190
8669, 419, 190
8670, 419, 190
8671, 419, 190
8672, 419, 189
8673, 418, 189
8674, 418, 189
8675, 418, 189
8676, 418, 188
8677, 419, 187
8678, 419, 187
8679, 419, 187
8680, 419, 187
8681, 419, 186
8682, 419, 186
8683, 419, 186
8685, 419, 184
8686, 419, 184
8687, 419, 184
8688, 419, 183
8689, 418, 183
8690, 418, 183
8691, 418, 183
8692, 418, 183
8693, 417, 183
8694, 417, 182
8695, 417, 182
8697, 417, 181
8698, 417, 181
8699, 417, 181
8700, 417, 180
8701, 417, 180
8702, 417, 180
8703, 417, 180
8704, 417, 179
8705, 416, 179
8706, 416, 179
8707, 417, 179
8709, 416, 178
8710, 416, 178
8711, 416, 178
8712, 416, 178
8713, 415, 176
8714, 415, 176
8715, 415, 176
8716, 415, 176
8717, 415, 176
8718, 415, 176
8719, 415, 175
8721, 415, 174
8722, 415, 174
8725, 413, 174
8726, 413, 174
8727, 413, 174
8728, 413, 174
8729, 413, 174
8730, 413, 173
8731, 413, 173
8737, 412, 171
8738, 412, 171
8739, 412, 171
8740, 412, 171
8741, 412, 170
8742, 412, 170
8743, 412, 170
8744, 412, 170
8745, 410, 170
8746, 410, 170
8747, 410, 169
8753, 409, 167
8754, 409, 167
8755, 408, 167
8756, 408, 167
8757, 408, 167
8758, 408, 167
8759, 408, 167
8761, 408, 166
8762, 408, 166
8763, 408, 166
8764, 408, 165
8765, 407, 164
8766, 407, 164
8767, 407, 164
8768, 407, 164
8769, 406, 164
8770, 406, 164
8771, 406, 164
8773, 404, 164
8774, 404, 164
8775, 404, 164
8776, 404, 164
8777, 405, 162
8778, 405, 162
8779, 405, 162
8780, 405, 162
8781, 404, 160
8782, 404, 160
8783, 404, 160
8784, 404, 160
8785, 403, 159
8786, 403, 159
8787, 403, 159
8789, 402, 158
8790, 402, 158
8791, 402, 158
8792, 401, 157
8793, 402, 156
8794, 402, 156
8795, 402, 156
8796, 402, 155
8797, 401, 154
8798, 401, 154
8799, 401, 154
8800, 401, 153
8801, 399, 152
8802, 399, 152
8803, 399, 152
8804, 399, 152
8805, 399, 150
8806, 399, 150
8807, 399, 150
8808, 399, 150
8809, 399, 148
8810, 399, 148
8811, 399, 148
8812, 399, 148
8813, 398, 146
8814, 398, 146
8815, 398, 146
8816, 398, 146
8817, 398, 145
8818, 398, 145
8819, 398, 145
8820, 398, 144
8821, 397, 143
8822, 397, 143
8823, 397, 143
8824, 397, 142
8825, 398, 140
8826, 398, 140
8827, 398, 140
8828, 398, 140
8829, 398, 139
8830, 398, 139
8831, 398, 139
8832, 398, 138
8833, 398, 137
8834, 398, 137
8835, 398, 137
8836, 398, 136
8837, 397, 134
8838, 397, 134
8839, 397, 134
8840, 397, 134
8841, 397, 133
8842, 397, 133
8843, 397, 133
8844, 397, 132
8845, 398, 130
8846, 398, 130
8847, 398, 130
8848, 398, 129
8849, 398, 126
8850, 398, 126
8851, 398, 126
8852, 398, 126
8853, 399, 126
8854, 399, 126
8855, 399, 126
8856, 399, 125
8857, 398, 125
8858, 398, 125
8861, 396, 124
8862, 396, 124
8863, 396, 123
8864, 396, 123
8865, 396, 123
8866, 396, 123
8867, 396, 123
8868, 396, 123
8869, 395, 122
8870, 395, 122
8871, 395, 122
8872, 395, 121
8873, 394, 119
8874, 394, 119
8875, 394, 119
8876, 394, 118
8877, 394, 119
8878, 394, 119
8879, 394, 119
8885, 392, 117
8886, 391, 117
8887, 391, 117
8888, 391, 117
8889, 391, 116
8890, 391, 116
8891, 391, 116
8897, 390, 114
8898, 390, 114
8899, 390, 114
8900, 390, 114
8901, 389, 114
8902, 389, 114
8903, 389, 114
8904, 389, 113
8905, 388, 112
8906, 388, 112
8907, 388, 112
8908, 388, 111
8909, 388, 110
8910, 388, 110
8911, 388, 110
