# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
10977, 181, 400
10978, 181, 400
10979, 180, 400
10980, 180, 400
10981, 180, 400
10982, 180, 400
10983, 180, 400
11002, 178, 405
11003, 177, 406
11005, 176, 406
11006, 176, 406
11007, 176, 406
11009, 176, 406
11010, 176, 406
11011, 176, 406
11017, 163, 405
11018, 163, 405
11019, 163, 405
11020, 163, 405
11021, 164, 409
11022, 164, 409
11023, 164, 409
11024, 164, 409
11025, 176, 408
11026, 176, 408
11027, 175, 408
11028, 164, 411
11029, 175, 409
11030, 175, 409
11031, 175, 409
11032, 175, 408
11033, 175, 410
11034, 175, 410
11035, 175, 410
11036, 164, 415
11037, 175, 410
11038, 175, 410
11039, 176, 410
11041, 175, 411
11042, 175, 411
11043, 175, 411
11044, 173, 411
11045, 174, 413
11046, 174, 412
11047, 174, 413
11048, 174, 413
11049, 174, 412
11050, 174, 412
11051, 174, 412
11052, 173, 413
11053, 173, 414
11054, 173, 414
11055, 173, 413
11057, 172, 415
11058, 172, 415
11059, 172, 415
11060, 172, 415
11061, 172, 415
11062, 172, 415
11063, 172, 415
11064, 171, 416
11065, 172, 417
11066, 172, 417
11067, 172, 417
11069, 171, 418
11070, 171, 418
11071, 171, 418
11072, 171, 418
11073, 171, 419
11074, 171, 419
11075, 171, 419
11076, 171, 419
11077, 172, 420
11078, 172, 420
11079, 162, 425
11080, 162, 425
11081, 171, 420
11082, 171, 420
11083, 172, 420
11084, 161, 426
11085, 171, 421
11086, 171, 421
11087, 171, 421
11088, 171, 421
11089, 171, 421
11090, 171, 421
11091, 171, 421
11093, 170, 423
11094, 170, 423
11095, 170, 423
11096, 170, 424
11097, 170, 424
11098, 170, 424
11099, 170, 424
11100, 170, 424
11101, 170, 424
11102, 170, 424
11103, 170, 424
11105, 169, 426
11106, 169, 426
11107, 169, 426
11108, 169, 427
11109, 169, 427
11110, 169, 427
11111, 169, 427
11112, 169, 428
11113, 168, 428
11114, 168, 428
11115, 168, 428
11117, 168, 429
11118, 168, 429
11119, 168, 429
11120, 168, 429
11121, 168, 429
11122, 168, 429
11123, 167, 430
11124, 167, 430
11125, 167, 430
11126, 167, 430
11127, 167, 430
11129, 166, 431
11130, 166, 431
11131, 166, 431
11132, 166, 432
11133, 167, 432
11134, 167, 433
11135, 167, 433
