# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
27234, 107, 197
27235, 107, 197
27236, 107, 197
27237, 107, 196
27238, 107, 196
27239, 107, 196
27240, 107, 195
27241, 108, 193
27242, 108, 193
27243, 108, 193
27244, 108, 193
27245, 105, 192
27246, 105, 192
27247, 105, 192
27248, 105, 192
27249, 105, 191
27250, 105, 191
27251, 105, 191
27252, 105, 191
27253, 105, 190
27254, 105, 190
27255, 105, 188
27257, 105, 187
27258, 105, 187
27259, 106, 187
27260, 106, 187
27261, 103, 187
27262, 103, 187
27263, 103, 187
27264, 103, 187
27265, 104, 187
27266, 104, 187
27267, 104, 187
27268, 103, 187
27269, 104, 186
27270, 104, 186
27271, 104, 186
27273, 104, 183
27274, 104, 183
27275, 104, 183
27276, 104, 183
27277, 102, 182
27278, 102, 182
27279, 102, 182
27280, 102, 182
27281, 102, 182
27282, 102, 182
27283, 102, 182
27285, 103, 182
27286, 103, 181
27287, 103, 180
27289, 103, 179
27290, 103, 179
27291, 103, 179
27292, 103, 179
27293, 104, 178
27294, 104, 178
27295, 104, 178
27297, 102, 178
27298, 102, 178
27299, 102, 178
27300, 101, 178
27301, 102, 177
27302, 102, 177
27303, 102, 177
27304, 103, 177
27305, 103, 176
27306, 102, 176
27307, 102, 176
27309, 102, 174
27310, 102, 174
27311, 102, 174
27313, 102, 174
27314, 101, 174
27315, 101, 174
27316, 102, 173
27317, 101, 173
27318, 102, 172
27319, 102, 172
27321, 102, 172
27322, 102, 172
27323, 102, 172
27325, 102, 170
27326, 102, 170
27327, 102, 170
27329, 101, 170
27330, 101, 170
27331, 101, 170
27332, 101, 170
27333, 100, 169
27334, 100, 169
27335, 100, 169
27337, 100, 168
27338, 100, 168
27339, 100, 168
27341, 101, 166
27342, 101, 166
27343, 101, 166
27344, 101, 166
27345, 101, 165
27346, 101, 165
27347, 101, 165
27349, 100, 164
27350, 100, 164
27351, 100, 164
27352, 100, 164
27353, 100, 163
27354, 100, 163
27355, 100, 163
27356, 100, 163
27357, 101, 163
27358, 101, 163
27359, 101, 163
27361, 101, 162
27362, 101, 162
27365, 101, 161
27366, 101, 161
27367, 101, 161
27369, 100, 161
27370, 100, 161
27371, 100, 161
27372, 99, 161
27373, 100, 160
27374, 100, 158
27375, 100, 158
27377, 100, 158
27378, 100, 158
27381, 99, 158
27382, 99, 158
27383, 99, 158
27385, 98, 157
27386, 98, 157
27387, 98, 157
27388, 98, 157
27389, 97, 157
27390, 97, 157
27391, 97, 157
27392, 97, 157
27393, 96, 156
27394, 96, 156
27395, 97, 156
27396, 96, 155
27397, 95, 156
27398, 95, 155
27399, 95, 155
27401, 95, 154
27402, 95, 154
27403, 95, 154
27405, 95, 153
27406, 95, 153
27407, 95, 153
27409, 95, 152
27410, 95, 152
