# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
46145, 257, 443
46146, 257, 443
46147, 257, 443
46157, 259, 444
46158, 259, 444
46159, 259, 444
46161, 258, 445
46162, 258, 445
46165, 259, 446
46166, 259, 446
46167, 259, 446
46168, 259, 446
46169, 259, 446
46170, 259, 446
46171, 259, 446
46177, 261, 447
46178, 261, 447
46179, 261, 447
46181, 261, 448
46182, 261, 448
46183, 261, 448
46184, 261, 448
46185, 261, 448
46186, 261, 448
46187, 261, 448
46201, 262, 450
46202, 262, 450
46203, 262, 450
46204, 262, 450
46205, 262, 451
46206, 262, 451
46207, 262, 451
46209, 264, 450
46210, 264, 450
46211, 264, 450
46212, 264, 450
46213, 265, 451
46214, 265, 451
46215, 266, 451
46216, 266, 451
46217, 266, 452
46218, 266, 452
46219, 266, 452
46220, 266, 453
46221, 267, 454
46222, 267, 454
46223, 267, 454
46224, 268, 454
46225, 268, 454
46226, 268, 454
46227, 281, 453
46228, 281, 454
46229, 281, 454
46230, 281, 454
46231, 281, 454
46281, 287, 463
46282, 287, 463
46286, 273, 466
46287, 273, 466
46293, 274, 467
46294, 274, 467
46295, 274, 467
46296, 274, 467
46297, 288, 465
46298, 288, 465
46299, 287, 465
46300, 287, 465
46301, 288, 466
46302, 275, 468
46303, 275, 468
46305, 276, 468
46306, 276, 468
46307, 276, 468
46317, 289, 467
46318, 289, 467
46319, 289, 467
46320, 276, 472
46321, 277, 472
46322, 277, 472
46323, 277, 472
46329, 289, 469
46330, 289, 469
46331, 289, 469
46333, 278, 473
46334, 278, 473
46335, 278, 473
46337, 279, 473
46338, 279, 473
46341, 291, 470
46342, 291, 470
46343, 281, 473
46344, 281, 474
46345, 291, 471
46346, 291, 471
46347, 291, 471
46348, 291, 471
46349, 291, 471
46350, 291, 471
46351, 291, 471
46354, 290, 471
46357, 292, 472
46358, 292, 472
46361, 291, 472
46362, 291, 472
46363, 291, 472
46373, 295, 473
46374, 295, 473
46375, 295, 473
46376, 295, 473
46381, 294, 473
46382, 294, 473
46383, 294, 473
46393, 297, 472
46394, 298, 472
46395, 298, 472
46396, 298, 472
46397, 298, 474
46398, 298, 474
46399, 298, 474
46400, 298, 474
46401, 298, 474
46402, 298, 474
46403, 298, 474
46404, 299, 475
46405, 299, 475
46406, 299, 475
46409, 300, 474
46413, 300, 473
46414, 300, 473
46415, 300, 473
46453, 289, 478
46454, 289, 478
46455, 289, 478
46456, 289, 478
46457, 290, 478
46458, 290, 478
46459, 290, 478
46460, 290, 478
46461, 290, 478
46462, 290, 478
46463, 290, 478
46465, 291, 479
46466, 291, 479
46467, 291, 479
46469, 293, 479
46470, 293, 479
46471, 293, 479
46472, 293, 479
46473, 294, 478
46474, 294, 478
46475, 294, 478
46477, 306, 477
46478, 306, 477
46481, 307, 477
46482, 307, 477
46483, 307, 477
46484, 294, 478
46489, 308, 477
46490, 308, 477
46491, 308, 477
46505, 311, 478
46506, 311, 478
46507, 311, 478
46509, 312, 478
46510, 312, 478
46511, 312, 478
46513, 312, 479
46514, 312, 479
46515, 312, 479
46553, 300, 482
46554, 300, 482
46555, 300, 482
46561, 301, 482
46562, 301, 482
46563, 301, 483
46564, 301, 483
46565, 302, 481
46566, 302, 481
46567, 302, 481
46568, 316, 480
46569, 316, 481
46570, 316, 481
46571, 303, 482
46577, 317, 482
46578, 317, 482
46579, 317, 482
46581, 318, 481
46582, 318, 481
46583, 318, 481
46605, 321, 482
46606, 321, 482
46607, 321, 482
46613, 321, 482
46614, 321, 482
46615, 321, 482
46617, 320, 482
46618, 320, 482
46619, 320, 482
46620, 320, 484
46633, 324, 484
46634, 324, 484
46635, 310, 484
46637, 324, 485
46638, 324, 485
46639, 324, 485
46640, 324, 486
46641, 324, 484
46642, 324, 484
46643, 324, 484
46649, 323, 486
46650, 323, 486
46651, 323, 486
46653, 327, 485
46654, 327, 485
46655, 327, 485
46657, 325, 487
46658, 325, 487
46659, 325, 487
46660, 325, 487
46665, 316, 486
46666, 316, 486
46669, 327, 485
46670, 327, 485
46671, 327, 485
46681, 328, 484
46682, 328, 484
46683, 328, 484
46684, 328, 484
46685, 329, 485
46686, 329, 485
46687, 329, 485
46688, 329, 485
46689, 329, 485
46690, 329, 485
46691, 330, 485
46693, 330, 485
46694, 330, 485
46695, 330, 485
46709, 329, 483
46710, 330, 483
46711, 330, 483
46712, 330, 483
46717, 332, 484
46718, 332, 484
46719, 332, 484
46720, 332, 484
