# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
35021, 143, 377
35022, 143, 377
35023, 143, 377
35025, 143, 378
35026, 143, 378
35027, 143, 378
35029, 143, 379
35030, 142, 379
35037, 142, 379
35038, 142, 379
35039, 142, 379
35040, 142, 379
35041, 143, 380
35042, 143, 380
35043, 143, 380
35044, 143, 380
35045, 142, 380
35046, 142, 380
35049, 142, 380
35050, 142, 380
35051, 142, 380
35053, 142, 380
35054, 142, 380
35055, 142, 381
35057, 140, 380
35058, 140, 380
35059, 139, 380
35060, 139, 380
35061, 141, 382
35062, 141, 382
35063, 141, 382
35065, 139, 382
35066, 140, 382
35067, 139, 382
35069, 141, 385
35070, 141, 385
35073, 139, 383
35074, 138, 383
35075, 138, 383
35077, 139, 383
35078, 138, 384
35079, 138, 384
35080, 138, 385
35081, 138, 384
35082, 138, 384
35083, 138, 385
35085, 137, 386
35086, 137, 386
35087, 137, 386
35089, 136, 385
35090, 136, 385
35091, 136, 385
35092, 136, 385
35093, 136, 386
35094, 136, 386
35095, 136, 387
35096, 136, 388
35101, 133, 386
35102, 133, 386
35103, 133, 386
35109, 136, 388
35110, 136, 388
35111, 136, 388
35112, 136, 388
35113, 134, 388
35114, 134, 388
35117, 132, 388
35118, 132, 388
35121, 133, 388
35122, 132, 388
35123, 132, 388
35137, 130, 388
35138, 129, 388
35139, 130, 388
35140, 129, 388
35141, 132, 389
35142, 131, 389
35143, 131, 389
35149, 129, 389
35150, 129, 389
35151, 129, 388
35152, 129, 388
35153, 129, 389
35154, 129, 389
35157, 130, 390
35158, 130, 390
35159, 130, 390
35161, 129, 389
35162, 129, 389
35163, 129, 389
35165, 128, 390
35166, 128, 390
35181, 129, 391
35182, 129, 391
35183, 129, 391
35184, 129, 392
35185, 129, 391
35186, 129, 391
35187, 129, 391
35193, 128, 393
35194, 128, 393
35195, 128, 393
35196, 127, 392
35197, 126, 393
35198, 126, 393
35199, 126, 393
35200, 126, 393
35201, 127, 393
35202, 127, 393
35203, 127, 393
35205, 125, 394
35206, 125, 394
35209, 125, 393
35210, 125, 393
35211, 125, 393
35213, 125, 394
35214, 125, 394
35215, 125, 394
35221, 126, 395
35222, 126, 395
35223, 126, 395
35224, 126, 395
35225, 126, 395
35226, 126, 395
35227, 126, 395
35228, 126, 395
35229, 125, 395
35230, 125, 395
35231, 125, 395
35232, 127, 395
35233, 127, 395
35234, 127, 395
35241, 124, 397
35242, 124, 397
35243, 125, 397
35244, 125, 397
35245, 125, 397
35246, 124, 397
35247, 124, 397
35253, 126, 398
35254, 124, 398
35255, 126, 398
35256, 124, 398
35257, 124, 398
35258, 124, 398
35259, 124, 398
35260, 123, 398
35261, 121, 397
35262, 122, 399
35263, 122, 399
35265, 123, 399
35266, 123, 399
35267, 121, 399
35269, 124, 400
35270, 124, 400
35271, 124, 400
35272, 125, 400
35273, 120, 400
35274, 120, 400
35275, 124, 400
35276, 124, 399
35277, 122, 400
35278, 122, 400
35279, 122, 400
35280, 122, 400
35281, 120, 401
35282, 120, 401
35283, 120, 401
35284, 120, 402
35285, 122, 401
35286, 122, 402
35287, 122, 402
35289, 122, 403
35290, 122, 402
35291, 121, 403
35292, 121, 403
35293, 121, 404
35294, 121, 404
35295, 120, 404
35296, 118, 403
35297, 120, 405
35298, 120, 405
35299, 120, 405
35300, 120, 405
35301, 119, 405
35302, 119, 405
35303, 119, 405
35304, 119, 406
35305, 121, 404
35306, 121, 404
35307, 119, 406
35308, 118, 406
35309, 118, 407
35310, 118, 407
35311, 118, 407
35312, 118, 409
35313, 118, 408
35314, 118, 408
35315, 118, 408
35316, 117, 409
35317, 117, 409
35318, 117, 409
35319, 117, 409
35321, 104, 410
35322, 104, 410
35323, 104, 410
35324, 104, 410
35325, 105, 410
35326, 105, 410
35327, 103, 410
35329, 116, 411
35330, 116, 411
35331, 116, 411
35332, 116, 411
35333, 115, 412
35334, 116, 411
35335, 116, 411
35337, 117, 412
35338, 117, 412
35339, 117, 412
35340, 118, 413
35341, 115, 412
35342, 115, 412
35343, 115, 412
35344, 117, 414
35345, 115, 412
35353, 114, 413
35357, 113, 414
35358, 113, 414
35359, 113, 414
35360, 113, 414
35361, 112, 414
35362, 112, 414
35363, 112, 414
35365, 114, 415
35366, 114, 415
35367, 114, 415
35368, 115, 415
35369, 113, 415
35370, 113, 415
35371, 113, 415
35373, 101, 410
35374, 101, 410
35375, 101, 411
35376, 101, 411
35377, 102, 410
35378, 102, 410
35379, 102, 410
35380, 102, 411
35381, 112, 416
35382, 112, 416
35383, 112, 416
35384, 112, 417
35385, 111, 417
35386, 111, 417
35387, 111, 417
35389, 114, 417
35390, 114, 417
35397, 112, 419
35398, 112, 419
35399, 112, 419
35400, 111, 418
35401, 111, 418
35402, 111, 418
35403, 111, 418
35404, 111, 418
35405, 101, 412
35413, 100, 413
35414, 100, 413
35415, 100, 413
35421, 107, 419
35422, 107, 419
35423, 107, 419
35425, 101, 415
35426, 101, 415
35427, 101, 415
35428, 101, 415
35429, 100, 415
35430, 100, 415
35431, 100, 415
35433, 112, 423
35434, 112, 423
35435, 112, 423
35436, 112, 423
35437, 99, 416
35438, 99, 416
35439, 99, 416
35440, 99, 416
35441, 98, 414
35442, 98, 414
35443, 98, 414
35445, 97, 415
35446, 97, 415
35447, 97, 415
35453, 95, 414
35454, 95, 414
35455, 95, 414
35456, 94, 414
35457, 94, 414
35458, 94, 414
35459, 94, 414
35460, 93, 413
35461, 93, 413
35462, 93, 413
35463, 93, 413
35464, 92, 412
35465, 92, 414
35466, 92, 414
35467, 92, 414
35481, 98, 417
35482, 98, 417
35485, 99, 418
35486, 99, 418
35487, 99, 418
35488, 99, 418
35489, 98, 418
35490, 98, 418
35505, 92, 416
35506, 92, 416
35507, 92, 416
35508, 92, 416
35509, 92, 416
