# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
30101, 136, 291
30102, 136, 291
30103, 136, 291
30104, 136, 291
30105, 135, 290
30106, 135, 290
30107, 135, 290
30108, 135, 290
30113, 134, 290
30114, 134, 290
30115, 134, 289
30117, 133, 290
30118, 132, 290
30119, 133, 290
30125, 132, 290
30126, 132, 290
30127, 131, 290
30128, 131, 290
30129, 131, 290
30130, 131, 290
30131, 131, 290
30141, 128, 289
30142, 128, 289
30143, 128, 289
30144, 128, 289
30145, 128, 289
30146, 128, 289
30147, 128, 289
30157, 125, 288
30158, 125, 288
30159, 125, 288
30160, 125, 288
30161, 124, 288
30162, 124, 288
30163, 124, 289
30164, 123, 289
30165, 124, 288
30166, 124, 288
30169, 122, 288
30170, 122, 288
30171, 122, 288
30173, 121, 288
30174, 121, 288
30175, 121, 287
30177, 121, 287
30178, 121, 287
30179, 121, 287
30180, 121, 285
30181, 120, 286
30182, 120, 286
30183, 120, 286
30185, 119, 286
30186, 118, 287
30187, 118, 287
30189, 118, 286
30190, 118, 286
30191, 118, 286
30193, 117, 286
30194, 117, 286
30195, 117, 286
30196, 117, 286
30197, 116, 286
30198, 116, 286
30199, 116, 286
30201, 115, 285
30202, 115, 285
30205, 114, 285
30206, 114, 285
30207, 114, 285
30208, 113, 285
30209, 112, 286
30210, 112, 286
30211, 112, 286
30212, 112, 286
30213, 111, 285
30214, 111, 285
30215, 111, 285
30216, 110, 285
30217, 111, 285
30218, 111, 285
30221, 109, 284
30222, 109, 284
30223, 109, 284
30224, 109, 284
30225, 108, 284
30226, 108, 284
30227, 108, 284
30228, 108, 284
30229, 108, 283
30230, 108, 283
30231, 108, 283
30232, 107, 283
30233, 106, 283
30234, 106, 283
30235, 106, 283
30237, 105, 283
30238, 105, 283
30239, 105, 282
30240, 105, 282
30241, 104, 282
30242, 104, 282
30243, 104, 282
30244, 103, 282
30245, 102, 282
30246, 102, 281
30247, 102, 281
30248, 101, 281
30249, 100, 282
30250, 100, 282
30251, 100, 282
30252, 99, 282
30253, 99, 281
30254, 99, 281
30255, 99, 281
30256, 98, 281
30257, 97, 281
30258, 97, 281
30259, 97, 281
30260, 96, 281
30261, 94, 280
30262, 94, 280
30263, 94, 280
30264, 94, 280
30265, 91, 280
30266, 91, 280
30267, 91, 280
30268, 91, 280
30269, 88, 281
30270, 88, 281
30271, 88, 281
30272, 87, 281
30273, 85, 281
30274, 85, 281
30275, 85, 281
30276, 85, 281
30277, 90, 276
30278, 90, 276
30279, 90, 276
30280, 90, 276
30281, 92, 274
30282, 92, 274
30283, 92, 274
30284, 92, 273
30285, 92, 273
30286, 92, 273
30287, 92, 273
30288, 92, 273
30289, 90, 273
30290, 90, 273
30291, 90, 273
30292, 89, 273
30293, 87, 274
30294, 87, 274
30295, 87, 274
30296, 86, 274
30297, 85, 276
30298, 85, 276
30299, 85, 276
30300, 85, 276
30301, 82, 277
30302, 82, 277
30303, 84, 276
30304, 82, 277
30305, 82, 276
30306, 82, 276
30307, 81, 276
30308, 81, 276
30309, 83, 272
30310, 83, 272
30311, 83, 272
30312, 83, 272
30313, 83, 272
30314, 83, 272
30315, 83, 271
30316, 83, 271
30317, 83, 271
30318, 83, 271
30321, 80, 275
30322, 80, 274
30323, 80, 274
30324, 80, 274
30325, 79, 276
30326, 79, 276
30327, 79, 276
30328, 79, 276
30329, 78, 276
30330, 78, 276
30333, 77, 278
30334, 77, 278
30335, 77, 278
