# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
41120, 92, 218
41121, 90, 216
41122, 90, 216
41123, 90, 216
41124, 90, 216
41125, 89, 215
41126, 89, 215
41127, 89, 215
41128, 89, 214
41129, 88, 214
41130, 88, 214
41131, 88, 214
41132, 88, 214
41133, 87, 213
41134, 87, 213
41135, 87, 213
41137, 88, 210
41138, 88, 210
41139, 88, 210
41153, 85, 207
41154, 85, 207
41157, 85, 207
41158, 85, 207
41159, 85, 207
41160, 85, 206
41161, 84, 206
41162, 84, 206
41173, 83, 203
41174, 83, 203
41175, 83, 203
41176, 83, 203
41177, 83, 203
41178, 83, 203
41181, 85, 201
41182, 85, 201
41193, 83, 199
41194, 83, 199
41195, 83, 199
41197, 83, 197
41198, 83, 197
41201, 83, 196
41202, 83, 196
41203, 83, 196
41204, 83, 196
41213, 83, 193
41214, 83, 193
41215, 83, 193
41216, 83, 193
41217, 82, 193
41218, 82, 193
41219, 82, 193
41241, 82, 188
41242, 82, 188
41243, 82, 188
41244, 82, 188
41245, 82, 188
41246, 82, 188
41247, 82, 188
41265, 81, 185
41266, 81, 185
41267, 81, 185
41268, 81, 185
41317, 81, 178
41318, 81, 178
41321, 81, 177
41322, 81, 177
41329, 82, 175
41330, 82, 175
41331, 81, 175
41357, 82, 171
41358, 82, 171
41429, 83, 157
41430, 83, 157
41431, 83, 157
41461, 86, 151
41462, 86, 151
41463, 86, 151
41485, 88, 145
41486, 88, 145
41487, 88, 145
41489, 89, 144
41490, 88, 144
41491, 88, 144
41501, 90, 141
41502, 90, 141
41503, 90, 141
41504, 90, 141
41505, 90, 141
41506, 90, 141
41507, 90, 141
41517, 91, 138
41518, 91, 138
41521, 91, 137
41522, 91, 137
41523, 91, 137
41524, 91, 137
41525, 91, 136
41526, 91, 136
41527, 91, 136
41529, 92, 135
41530, 92, 135
41531, 92, 135
41532, 92, 135
41533, 92, 134
41534, 92, 134
41535, 92, 134
