# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
14490, 254, 207
14491, 254, 208
14492, 254, 207
14493, 254, 207
14494, 254, 207
14495, 254, 207
14496, 254, 206
14497, 254, 206
14498, 254, 206
14499, 254, 206
14501, 255, 204
14502, 255, 204
14503, 255, 204
14504, 255, 204
14505, 254, 203
14506, 254, 203
14507, 254, 203
14508, 254, 202
14509, 254, 202
14510, 254, 202
14511, 254, 202
14512, 254, 200
14513, 254, 199
14514, 254, 200
14515, 254, 200
14516, 254, 200
14517, 254, 199
14518, 254, 199
14519, 254, 199
14520, 254, 198
14521, 254, 197
14522, 254, 197
14523, 255, 197
14525, 254, 195
14526, 254, 195
14527, 254, 195
14528, 254, 194
14529, 254, 195
14530, 254, 195
14531, 254, 195
14532, 254, 194
14533, 254, 193
14534, 254, 193
14535, 254, 193
14536, 254, 192
14537, 254, 191
14538, 254, 192
14539, 254, 191
14540, 253, 191
14541, 253, 190
14542, 253, 190
14543, 253, 190
14544, 253, 189
14545, 254, 188
14546, 254, 188
14547, 254, 188
14548, 254, 188
14549, 254, 188
14550, 254, 188
14551, 254, 188
14552, 254, 186
14553, 253, 185
14554, 253, 185
14555, 253, 185
14556, 253, 185
14557, 253, 185
14558, 253, 185
14559, 253, 185
14560, 253, 184
14561, 253, 183
14562, 253, 184
14563, 253, 183
14564, 253, 183
14565, 252, 182
14566, 252, 182
14567, 252, 182
14568, 252, 181
14569, 253, 180
14570, 253, 179
14571, 253, 179
14572, 252, 179
14573, 253, 178
14574, 253, 179
14575, 253, 178
14576, 254, 178
14577, 252, 178
14578, 252, 178
14579, 252, 178
14580, 252, 176
14581, 253, 177
14582, 253, 177
14583, 253, 176
14584, 251, 175
14585, 252, 175
14586, 252, 176
14587, 252, 175
14588, 251, 174
14589, 252, 173
14590, 252, 173
14591, 252, 173
14592, 252, 173
14593, 252, 172
14594, 252, 172
14595, 252, 172
14596, 252, 172
14597, 252, 171
14598, 252, 170
14599, 252, 170
14600, 252, 170
14601, 252, 169
14602, 252, 169
14603, 252, 169
14604, 252, 168
14605, 252, 168
14606, 252, 169
14607, 252, 169
14608, 250, 167
14609, 252, 167
14610, 252, 168
14611, 252, 167
14612, 253, 165
14613, 252, 165
14614, 252, 166
14615, 252, 164
14616, 250, 164
14617, 252, 163
14618, 252, 164
14619, 252, 164
14620, 252, 163
14621, 252, 163
14622, 252, 163
14623, 252, 163
14624, 252, 162
14625, 252, 160
14626, 252, 161
14627, 252, 160
14628, 252, 160
14629, 251, 160
14630, 251, 160
14631, 251, 159
14632, 251, 160
14633, 251, 157
14634, 251, 158
14635, 251, 157
14636, 251, 157
14637, 251, 157
14638, 251, 157
14639, 251, 156
14640, 251, 156
14641, 251, 156
14642, 251, 156
14643, 251, 155
14644, 251, 155
14645, 251, 154
14646, 251, 154
14647, 240, 146
14648, 251, 153
14649, 240, 145
14650, 240, 145
14651, 240, 145
14652, 251, 151
14653, 239, 144
14654, 239, 144
14655, 239, 144
14656, 251, 150
14657, 236, 139
14658, 236, 139
14659, 236, 139
14660, 236, 139
14661, 233, 137
14662, 233, 136
14663, 233, 136
14664, 233, 135
14665, 232, 135
14666, 232, 136
14667, 232, 135
14668, 231, 134
14669, 232, 134
14670, 232, 134
14671, 232, 134
14672, 232, 133
14673, 233, 132
14674, 233, 132
14675, 233, 132
14676, 233, 132
14677, 232, 130
14678, 232, 130
14679, 233, 130
14680, 233, 130
14681, 233, 130
14682, 233, 130
14683, 233, 130
14684, 219, 135
14685, 235, 128
14686, 235, 128
14687, 234, 128
14689, 235, 129
14690, 235, 129
14691, 235, 129
14692, 236, 129
14693, 235, 127
14694, 235, 127
14695, 235, 127
14696, 236, 127
14697, 235, 125
14698, 235, 126
14699, 235, 125
14700, 235, 125
14701, 234, 125
14702, 234, 125
14703, 234, 125
14705, 234, 124
14706, 234, 124
14707, 234, 124
14708, 233, 124
14709, 235, 123
14710, 234, 123
14711, 234, 123
14712, 235, 122
14713, 235, 122
14714, 235, 122
14715, 235, 122
14717, 235, 122
14718, 235, 122
14719, 235, 122
14720, 235, 122
14721, 234, 121
14722, 234, 121
14723, 234, 121
14724, 234, 120
14725, 234, 120
14726, 234, 120
14727, 234, 120
14729, 233, 119
14730, 233, 119
14731, 233, 119
14732, 232, 119
14733, 233, 117
14734, 233, 117
14735, 232, 118
14736, 232, 118
14737, 232, 117
14738, 232, 117
14739, 232, 117
14741, 232, 117
14742, 232, 117
14743, 232, 116
14744, 233, 115
14745, 234, 116
14746, 234, 116
14747, 234, 116
14748, 235, 116
14749, 236, 116
14750, 236, 116
14751, 236, 116
14753, 235, 114
14754, 235, 114
14755, 249, 118
14756, 248, 119
14757, 235, 112
14758, 235, 112
14759, 235, 112
14760, 235, 112
14761, 234, 111
14762, 234, 111
14763, 234, 111
14764, 234, 111
14765, 235, 110
14766, 234, 111
14767, 234, 111
14768, 234, 111
14769, 235, 109
14770, 235, 109
14771, 234, 109
14772, 234, 109
14773, 233, 109
14774, 233, 109
14775, 233, 109
14776, 247, 111
14777, 234, 107
14778, 234, 107
14779, 234, 107
14780, 235, 107
14781, 234, 106
14782, 234, 106
14783, 234, 106
14784, 234, 106
14785, 234, 105
14786, 234, 105
14787, 234, 105
14788, 234, 104
14789, 233, 104
14790, 233, 104
14791, 233, 104
14792, 233, 104
14793, 234, 103
14794, 234, 103
14795, 234, 103
14796, 233, 102
14797, 233, 102
14798, 233, 101
14799, 233, 101
14800, 233, 101
14801, 233, 101
14802, 233, 101
14803, 232, 101
14804, 232, 101
14805, 232, 99
14806, 232, 99
14807, 232, 99
14808, 232, 99
14809, 231, 98
14810, 231, 98
14811, 231, 98
14812, 230, 98
14813, 229, 96
14814, 229, 96
14815, 229, 96
14816, 229, 96
14817, 229, 95
14818, 229, 95
14819, 229, 95
14820, 228, 95
14821, 228, 94
14822, 228, 94
14823, 228, 94
14824, 227, 93
14825, 228, 91
14826, 228, 91
14827, 227, 91
14828, 227, 91
14829, 226, 91
14830, 226, 91
14831, 226, 91
14832, 226, 91
14833, 227, 90
14834, 227, 90
14835, 227, 90
14836, 227, 90
14837, 228, 90
14838, 228, 90
14839, 228, 90
14840, 229, 89
