# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
21301, 56, 222
21302, 56, 222
21303, 56, 222
21305, 58, 221
21309, 57, 221
21310, 57, 221
21311, 57, 221
21313, 58, 221
21314, 58, 221
21315, 58, 220
21317, 57, 219
21318, 57, 219
21319, 58, 219
21321, 58, 218
21322, 58, 218
21323, 58, 218
21324, 58, 217
21325, 58, 218
21326, 58, 218
21327, 58, 218
21329, 58, 218
21330, 58, 218
21331, 58, 218
21333, 58, 217
21334, 58, 217
21335, 58, 217
21337, 59, 216
21338, 59, 216
21339, 59, 216
21340, 60, 216
21341, 60, 216
21342, 60, 216
21343, 60, 216
21344, 60, 216
21349, 58, 214
21350, 58, 214
21351, 58, 214
21357, 59, 214
21358, 59, 214
21359, 60, 214
21360, 60, 214
21361, 60, 214
21362, 60, 214
21363, 60, 213
21365, 59, 212
21366, 59, 212
21367, 59, 212
21369, 59, 211
21370, 59, 211
21371, 59, 211
21373, 59, 211
21374, 59, 210
21375, 60, 210
21377, 59, 210
21378, 59, 210
21379, 59, 210
21385, 59, 209
21386, 59, 209
21387, 59, 209
21389, 61, 210
21390, 61, 210
21391, 61, 210
21393, 60, 210
21394, 60, 210
21397, 60, 208
21398, 60, 208
21399, 60, 208
21401, 60, 208
21402, 60, 208
21403, 60, 208
21405, 61, 208
21406, 61, 208
21407, 62, 208
21413, 62, 207
21414, 62, 207
21415, 61, 205
21421, 60, 204
21422, 60, 204
21423, 60, 204
21424, 59, 204
21425, 61, 203
21426, 62, 203
21427, 62, 203
21428, 62, 203
21429, 61, 204
21430, 61, 204
21431, 62, 203
21441, 62, 201
21442, 62, 201
21443, 62, 201
21444, 62, 201
21445, 62, 201
21446, 62, 201
21447, 62, 201
21453, 62, 200
21454, 62, 200
21455, 62, 199
21457, 61, 199
21458, 61, 199
21459, 61, 199
21466, 63, 199
21469, 62, 198
21470, 62, 198
21471, 62, 198
21472, 62, 198
21473, 62, 198
21474, 62, 198
21475, 62, 197
21477, 63, 197
21478, 63, 197
21479, 62, 196
21485, 63, 197
21486, 63, 197
21487, 63, 196
21489, 63, 196
21490, 63, 196
21491, 63, 196
21505, 64, 195
21506, 64, 195
21509, 64, 193
21510, 64, 193
21511, 64, 193
21513, 64, 192
21514, 64, 192
21515, 64, 192
21517, 66, 193
21518, 66, 193
21519, 66, 192
21525, 65, 192
21526, 65, 192
21527, 65, 192
21545, 66, 190
21546, 66, 190
21547, 65, 190
21553, 65, 188
21557, 66, 190
21565, 66, 188
21566, 66, 188
21567, 66, 187
21568, 65, 186
21581, 66, 185
21582, 66, 185
21583, 66, 185
21584, 66, 185
21585, 67, 185
21597, 67, 185
21598, 67, 185
21599, 67, 185
21605, 67, 184
21606, 67, 184
21613, 68, 184
21614, 68, 184
21617, 68, 183
21618, 68, 183
21637, 69, 181
21638, 69, 181
21639, 69, 181
21641, 68, 180
21642, 68, 180
21643, 68, 180
21657, 69, 179
21658, 69, 179
21659, 70, 179
21661, 69, 179
21662, 69, 179
21665, 69, 177
21666, 69, 177
21667, 68, 176
21673, 69, 176
21674, 69, 176
21675, 69, 176
21677, 69, 176
21678, 69, 176
21679, 69, 176
21685, 70, 175
21686, 70, 175
21697, 70, 174
21698, 70, 174
21701, 70, 173
21702, 70, 173
21709, 70, 173
21710, 70, 173
21711, 70, 173
21712, 70, 172
21713, 70, 172
21714, 70, 172
21715, 70, 172
21716, 70, 172
21717, 71, 172
21741, 73, 170
21742, 72, 170
21743, 73, 170
21744, 72, 169
21745, 72, 170
21746, 72, 170
21747, 72, 169
21753, 72, 168
21754, 72, 168
21755, 72, 168
21756, 72, 168
21757, 73, 168
21758, 73, 168
21761, 73, 168
21762, 73, 168
21763, 73, 168
21765, 73, 167
21766, 73, 167
21767, 73, 167
21813, 76, 162
21814, 76, 162
21815, 76, 161
21817, 75, 161
21837, 77, 159
21838, 77, 159
21839, 77, 159
21840, 77, 159
21841, 77, 160
21842, 77, 159
