# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
26335, 263, 208
26336, 263, 208
26337, 263, 208
26338, 263, 208
26339, 263, 208
26340, 263, 208
26341, 263, 206
26342, 263, 206
26343, 263, 206
26344, 263, 205
26345, 263, 204
26346, 263, 204
26347, 263, 204
26348, 263, 203
26349, 264, 202
26350, 264, 202
26351, 264, 202
26352, 264, 201
26353, 263, 200
26354, 263, 200
26355, 263, 200
26356, 263, 200
26357, 264, 198
26358, 264, 198
26359, 264, 198
26360, 264, 198
26361, 264, 197
26362, 264, 197
26363, 264, 197
26364, 264, 196
26365, 265, 196
26366, 265, 196
26367, 265, 196
26368, 264, 195
26369, 264, 193
26370, 264, 193
26371, 264, 193
26372, 264, 192
26373, 264, 191
26374, 264, 191
26375, 264, 191
26376, 264, 191
26377, 264, 190
26378, 264, 190
26379, 264, 190
26380, 264, 189
26381, 264, 188
26382, 264, 188
26383, 264, 188
26384, 264, 187
26385, 264, 186
26386, 264, 186
26387, 264, 186
26388, 264, 185
26389, 265, 185
26390, 265, 185
26391, 265, 185
26392, 265, 185
26393, 265, 183
26394, 265, 183
26395, 265, 183
26396, 265, 182
26397, 265, 182
26398, 265, 182
26399, 265, 182
26400, 265, 181
26401, 265, 180
26402, 265, 180
26403, 265, 180
26404, 265, 180
26405, 265, 179
26406, 265, 179
26407, 265, 179
26408, 265, 178
26409, 266, 177
26410, 266, 178
26411, 266, 177
26412, 266, 176
26413, 266, 176
26414, 266, 176
26415, 266, 176
26416, 266, 176
26417, 266, 175
26418, 266, 175
26419, 266, 175
26420, 266, 175
26421, 266, 174
26422, 266, 174
26423, 266, 174
26424, 266, 173
26425, 267, 171
26426, 267, 171
26427, 267, 171
26428, 267, 171
26429, 267, 171
26430, 267, 171
26431, 267, 170
26432, 267, 170
26433, 267, 170
26434, 267, 170
26435, 267, 170
26436, 267, 169
26437, 266, 169
26438, 268, 168
26439, 268, 168
26440, 268, 167
26441, 268, 167
26442, 268, 167
26443, 268, 167
26444, 268, 167
26445, 268, 165
26446, 268, 166
26447, 268, 166
26448, 268, 165
26449, 268, 164
26450, 268, 164
26451, 268, 164
26452, 268, 164
26453, 268, 163
26454, 268, 163
26455, 268, 163
26456, 267, 162
26457, 268, 162
26458, 268, 163
26459, 268, 162
26460, 269, 162
26461, 269, 161
26462, 269, 161
26463, 269, 161
26464, 270, 161
26465, 270, 160
26466, 270, 160
26467, 270, 160
26468, 270, 160
26469, 270, 158
26470, 270, 158
26471, 270, 158
26472, 270, 158
26473, 270, 157
26474, 270, 157
26475, 270, 157
26476, 270, 156
26477, 270, 156
26478, 271, 156
26479, 271, 155
26480, 271, 155
26481, 271, 153
26482, 272, 153
26483, 272, 153
26484, 272, 153
26485, 272, 153
26486, 272, 153
26487, 272, 153
26488, 272, 152
26489, 272, 151
26490, 272, 151
26491, 272, 151
26492, 272, 151
26493, 273, 150
26494, 273, 150
26495, 273, 150
26496, 273, 149
26497, 273, 148
26498, 273, 148
26499, 273, 148
26500, 274, 147
26501, 274, 147
26502, 274, 147
26503, 274, 147
26504, 274, 146
26505, 275, 145
26506, 275, 146
26507, 275, 145
26508, 275, 145
26509, 276, 145
26510, 275, 145
26511, 275, 145
26512, 275, 144
26513, 276, 143
26514, 276, 143
26515, 276, 143
26516, 276, 142
26517, 277, 142
26518, 277, 142
26519, 277, 142
26520, 277, 142
26521, 277, 140
26522, 277, 140
26523, 277, 140
26524, 277, 139
26525, 277, 138
26526, 277, 139
26527, 277, 138
26528, 277, 138
26529, 278, 138
26530, 278, 138
26531, 278, 138
26532, 278, 138
26533, 279, 137
26534, 279, 137
26535, 279, 136
26536, 279, 136
26537, 279, 136
26538, 279, 135
26539, 279, 135
26540, 280, 134
26541, 280, 133
26542, 280, 134
26543, 280, 133
26544, 279, 132
26545, 280, 133
26546, 280, 133
26547, 280, 133
26548, 280, 133
26549, 280, 131
26550, 280, 131
26551, 280, 131
26553, 282, 130
26554, 282, 130
26555, 282, 130
26556, 282, 130
26557, 282, 129
26558, 282, 130
26559, 282, 129
26560, 282, 129
26561, 282, 128
26562, 282, 128
26563, 282, 128
26564, 282, 128
26565, 283, 127
26566, 283, 127
26567, 283, 127
26568, 283, 126
26569, 283, 126
26570, 283, 126
26571, 283, 126
26572, 283, 126
26573, 284, 125
26574, 284, 125
26575, 284, 125
26576, 284, 124
26577, 284, 124
26578, 284, 124
26579, 284, 124
26581, 285, 123
26582, 285, 123
26583, 285, 123
26584, 285, 122
26585, 285, 121
26586, 285, 121
26587, 285, 121
26588, 285, 121
26589, 287, 120
26590, 287, 120
26591, 287, 120
26592, 287, 120
26593, 288, 120
26594, 288, 120
26595, 288, 120
26597, 288, 118
26598, 287, 119
26599, 287, 118
26601, 288, 117
26602, 288, 117
26603, 288, 117
26604, 288, 117
26605, 289, 116
26606, 289, 116
26607, 289, 116
26608, 289, 116
26609, 289, 115
26610, 289, 115
26611, 289, 115
26612, 289, 115
26613, 290, 114
26614, 290, 114
26615, 290, 114
26616, 290, 113
26617, 290, 113
26618, 290, 114
26619, 290, 113
26621, 291, 113
26622, 291, 113
26623, 291, 112
26624, 291, 112
26625, 291, 112
26626, 291, 112
26627, 291, 112
26628, 291, 112
26629, 292, 112
26630, 292, 112
26631, 292, 112
26633, 293, 111
26634, 293, 111
26635, 293, 111
26637, 292, 110
26638, 292, 109
26639, 292, 109
26640, 292, 109
26641, 294, 108
26642, 294, 108
26643, 294, 108
26644, 294, 108
26645, 294, 108
26646, 295, 108
26647, 295, 108
26648, 295, 108
26649, 295, 107
26650, 295, 107
26651, 295, 107
26653, 296, 106
26654, 296, 106
26655, 296, 106
26656, 296, 106
26657, 297, 105
26658, 297, 105
26659, 297, 105
26661, 298, 104
26662, 298, 104
26663, 298, 104
26664, 298, 104
26665, 299, 103
26666, 299, 103
26667, 299, 103
26668, 300, 103
