# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
26441, 267, 278
26442, 267, 278
26443, 267, 278
26444, 267, 277
26445, 267, 277
26446, 267, 277
26447, 267, 277
26453, 266, 275
26454, 266, 275
26455, 266, 275
26456, 266, 275
26457, 267, 276
26458, 267, 276
26459, 267, 276
26465, 268, 275
26466, 268, 275
26467, 268, 275
26469, 268, 274
26470, 268, 274
26471, 268, 274
26481, 269, 273
26482, 269, 273
26483, 269, 273
26485, 269, 272
26486, 269, 272
26487, 269, 272
26493, 269, 271
26494, 269, 270
26495, 269, 271
26496, 269, 271
26497, 270, 270
26498, 270, 270
26499, 270, 270
26501, 270, 270
26502, 270, 270
26503, 271, 270
26509, 270, 268
26510, 270, 268
26511, 270, 268
26512, 270, 268
26513, 270, 268
26514, 270, 268
26515, 270, 268
26516, 271, 267
26517, 271, 268
26518, 271, 268
26519, 271, 268
26520, 271, 268
26521, 271, 268
26522, 271, 268
26523, 272, 268
26524, 272, 267
26525, 271, 268
26526, 271, 268
26529, 271, 266
26530, 271, 266
26531, 271, 266
26533, 271, 265
26534, 271, 265
26535, 271, 265
26537, 272, 265
26538, 272, 265
26539, 272, 265
26541, 273, 265
26542, 273, 265
26543, 273, 265
26549, 273, 263
26550, 273, 263
26551, 273, 263
26553, 274, 263
26554, 274, 263
26555, 274, 263
26557, 273, 264
26558, 273, 264
26561, 274, 263
26562, 274, 263
26563, 274, 263
26565, 272, 260
26566, 272, 260
26567, 272, 260
26569, 273, 260
26570, 273, 260
26571, 273, 260
26573, 274, 260
26574, 274, 260
26575, 274, 260
26581, 275, 260
26582, 275, 260
26583, 275, 260
26585, 274, 258
26586, 274, 258
26587, 274, 258
26589, 275, 258
26590, 275, 258
26591, 275, 258
26593, 275, 257
26594, 275, 257
26595, 276, 257
26597, 276, 256
26598, 276, 257
26599, 276, 256
26601, 277, 257
26602, 277, 257
26603, 277, 257
26605, 276, 256
26606, 276, 256
26607, 276, 255
26608, 275, 254
26609, 276, 255
26610, 276, 255
26611, 276, 255
26613, 277, 255
26614, 277, 255
26615, 277, 255
26617, 277, 255
26618, 277, 255
26619, 277, 255
26621, 277, 253
26622, 277, 253
26623, 277, 253
26625, 277, 252
26626, 277, 253
26627, 277, 252
26629, 279, 253
26630, 279, 253
26631, 279, 253
26641, 278, 249
26642, 278, 249
26643, 278, 249
26644, 278, 249
26645, 278, 250
26646, 278, 249
26647, 278, 249
26649, 279, 249
26650, 279, 249
26651, 279, 249
26653, 279, 249
26654, 279, 249
26655, 279, 249
26656, 279, 249
26657, 279, 247
26658, 279, 247
26659, 279, 247
26661, 279, 246
26662, 279, 246
26663, 279, 246
26664, 279, 246
26665, 280, 246
26666, 280, 246
26667, 280, 246
26669, 280, 245
26670, 280, 245
26671, 280, 245
26673, 281, 244
26674, 281, 244
26675, 281, 244
26676, 282, 244
26677, 281, 243
26678, 281, 243
26679, 281, 243
26681, 281, 243
26682, 281, 243
26683, 283, 243
26685, 282, 241
26686, 282, 241
26687, 282, 241
26688, 282, 241
26689, 282, 241
26690, 282, 241
26691, 282, 242
26692, 284, 241
26693, 282, 240
26694, 282, 240
26695, 282, 240
26697, 283, 239
26698, 283, 239
26699, 283, 239
26701, 283, 238
26702, 283, 238
26703, 283, 238
26704, 284, 238
26705, 283, 237
26706, 283, 237
26707, 283, 237
26708, 283, 237
26709, 284, 237
26710, 284, 237
26711, 284, 237
26712, 284, 237
26713, 284, 236
26714, 284, 236
26715, 284, 236
26716, 285, 235
26717, 285, 235
26718, 285, 235
26719, 285, 235
26721, 285, 234
26722, 285, 234
26723, 285, 234
26725, 285, 234
26726, 285, 234
26727, 285, 234
26728, 285, 233
26729, 286, 232
26730, 286, 232
26731, 286, 232
26732, 286, 232
26733, 286, 231
26734, 286, 231
26735, 286, 231
26736, 287, 231
26737, 287, 230
26738, 287, 230
26739, 287, 230
26741, 287, 229
26742, 287, 229
26743, 287, 229
26744, 287, 229
26745, 288, 229
26746, 288, 228
26747, 288, 228
26748, 288, 228
26749, 288, 227
26750, 288, 227
26751, 288, 227
26752, 288, 227
26753, 288, 226
26754, 288, 226
26755, 288, 226
26756, 288, 226
26757, 289, 226
26758, 289, 226
26759, 289, 226
26760, 289, 226
26761, 289, 225
26762, 289, 225
26763, 289, 225
26765, 289, 223
26766, 289, 223
26767, 289, 222
26768, 289, 222
26769, 290, 222
26770, 290, 222
26771, 290, 222
26772, 292, 221
26773, 291, 220
26774, 291, 220
26775, 291, 220
26776, 291, 220
26777, 291, 220
26778, 291, 220
26779, 291, 220
26780, 291, 220
26781, 292, 219
26782, 292, 219
26783, 292, 219
26784, 292, 218
26785, 292, 216
26786, 292, 217
26787, 292, 216
26789, 292, 217
26790, 292, 217
26791, 292, 217
26793, 293, 215
26794, 293, 215
26795, 293, 215
26796, 293, 215
26797, 293, 215
26798, 293, 215
26799, 293, 215
26800, 293, 215
26801, 294, 214
26802, 294, 214
26803, 294, 214
26805, 294, 213
26806, 294, 213
26807, 294, 212
26808, 295, 212
26809, 294, 212
26810, 294, 212
26811, 294, 212
26812, 295, 210
26813, 295, 211
26814, 295, 211
26815, 295, 211
26816, 295, 211
26817, 295, 209
26818, 295, 210
26819, 295, 209
26820, 295, 208
26821, 296, 208
26822, 296, 208
26823, 296, 208
26824, 297, 207
26825, 297, 208
26826, 297, 207
26827, 297, 207
26828, 297, 207
26829, 297, 206
26830, 297, 206
26831, 297, 206
26832, 298, 205
26833, 298, 205
26834, 298, 205
26835, 298, 205
26836, 298, 205
26837, 298, 204
26838, 298, 204
26839, 298, 204
26840, 298, 203
26841, 299, 203
26842, 299, 203
26843, 299, 203
26844, 299, 202
26845, 300, 202
26846, 300, 202
26847, 300, 202
26848, 301, 202
26849, 300, 200
26850, 301, 200
26851, 301, 200
26852, 301, 200
26853, 301, 199
26854, 301, 199
26855, 301, 200
26857, 302, 198
26858, 302, 199
26859, 302, 198
26861, 302, 197
26862, 302, 197
26863, 302, 197
26864, 302, 197
26865, 303, 197
26866, 303, 197
26867, 303, 197
26868, 303, 196
26869, 303, 195
26870, 303, 195
26871, 304, 196
26872, 304, 196
26873, 305, 194
26874, 304, 194
26875, 304, 194
26876, 304, 193
26877, 305, 194
26878, 305, 193
26879, 305, 193
26880, 305, 193
26881, 306, 192
26882, 305, 191
26883, 305, 191
26884, 306, 191
26885, 307, 179
26886, 307, 179
26887, 307, 179
26888, 305, 189
26889, 308, 179
26890, 308, 179
26891, 308, 178
26892, 306, 189
26893, 310, 180
26894, 310, 180
26895, 307, 188
26896, 308, 187
26897, 309, 182
26898, 309, 183
26899, 309, 182
26900, 310, 182
26901, 311, 177
26902, 311, 177
26903, 311, 176
26904, 312, 176
26905, 312, 176
26906, 312, 176
26907, 309, 185
26909, 310, 184
26910, 310, 184
26911, 310, 184
26912, 311, 184
26913, 311, 183
26914, 311, 183
26915, 311, 183
26916, 311, 182
26917, 311, 182
26918, 311, 182
26919, 311, 182
26920, 311, 181
26921, 316, 172
26922, 316, 172
26923, 313, 181
26924, 313, 181
26925, 315, 170
26926, 315, 170
26927, 313, 179
26928, 313, 179
26929, 313, 179
26930, 313, 178
26931, 313, 178
26932, 313, 177
26933, 316, 165
26934, 316, 165
26935, 316, 165
26936, 314, 177
