# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
11985, 248, 258
11986, 248, 258
11987, 248, 258
11988, 248, 258
11989, 247, 257
11990, 247, 257
11991, 247, 257
11993, 247, 256
11994, 247, 256
11995, 247, 256
11997, 247, 256
11998, 247, 256
11999, 247, 256
12000, 247, 255
12001, 247, 255
12002, 247, 255
12003, 247, 255
12005, 247, 254
12006, 247, 254
12009, 247, 254
12010, 247, 254
12011, 247, 254
12013, 247, 253
12014, 247, 253
12015, 247, 253
12017, 248, 253
12018, 248, 253
12019, 248, 252
12021, 247, 252
12022, 247, 252
12023, 247, 252
12024, 247, 252
12025, 247, 251
12026, 247, 251
12027, 247, 251
12033, 246, 250
12034, 246, 250
12035, 246, 250
12041, 246, 249
12042, 246, 249
12043, 246, 249
12044, 246, 249
12045, 246, 249
12046, 246, 249
12047, 246, 249
12048, 246, 249
12049, 245, 248
12050, 245, 248
12051, 245, 248
12052, 245, 248
12053, 246, 247
12054, 246, 247
12055, 246, 247
12057, 245, 246
12058, 245, 246
12059, 245, 246
12061, 245, 245
12062, 245, 245
12063, 245, 245
12065, 246, 244
12066, 246, 244
12067, 245, 244
12073, 245, 243
12074, 245, 243
12075, 245, 243
12076, 245, 243
12077, 245, 242
12078, 245, 242
12079, 245, 242
12080, 244, 242
12081, 244, 242
12082, 244, 242
12083, 244, 242
12085, 244, 240
12086, 244, 240
12087, 244, 240
12089, 245, 240
12090, 245, 240
12091, 245, 240
12093, 244, 238
12094, 244, 238
12095, 244, 238
12096, 244, 238
12097, 244, 237
12098, 244, 237
12099, 244, 237
12101, 244, 237
12102, 244, 237
12103, 243, 237
12105, 243, 235
12106, 243, 235
12107, 243, 235
12109, 243, 234
12110, 243, 234
12113, 243, 233
12114, 243, 233
12115, 243, 233
12116, 243, 233
12117, 242, 232
12118, 242, 232
12119, 242, 232
12120, 241, 232
12121, 242, 230
12122, 242, 230
12123, 242, 230
12124, 242, 229
12125, 241, 228
12126, 241, 228
12127, 241, 228
12128, 241, 228
12129, 241, 227
12130, 241, 227
12131, 241, 227
12132, 241, 227
12133, 241, 226
12134, 241, 226
12135, 241, 226
12136, 241, 225
12137, 240, 225
12138, 240, 225
12139, 240, 225
12140, 240, 225
12141, 240, 224
12142, 240, 224
12143, 240, 224
12145, 240, 223
12146, 240, 223
12147, 240, 223
12148, 240, 223
12149, 239, 222
12150, 239, 222
12151, 239, 222
12152, 239, 222
12153, 239, 220
12154, 239, 220
12155, 239, 220
12156, 239, 219
12157, 238, 219
12158, 238, 219
12159, 238, 219
12160, 239, 218
12161, 238, 218
12162, 238, 218
12163, 237, 218
12164, 237, 218
12165, 238, 217
12166, 238, 217
12167, 238, 217
12168, 238, 217
12169, 237, 215
12170, 237, 215
12171, 237, 215
12172, 237, 215
12173, 237, 214
12174, 237, 214
12175, 237, 214
12176, 237, 214
12177, 237, 213
12178, 237, 213
12179, 237, 213
12181, 236, 211
12182, 236, 211
12183, 236, 211
12184, 236, 211
12185, 236, 210
12186, 236, 210
12187, 236, 210
12188, 235, 210
12189, 236, 210
12190, 236, 210
12191, 236, 210
12192, 236, 209
12193, 235, 208
12194, 235, 208
12195, 235, 208
12196, 235, 207
12197, 235, 206
12198, 235, 206
12199, 235, 206
12200, 235, 205
12201, 235, 206
12202, 235, 206
12203, 235, 206
12205, 235, 205
12206, 235, 205
12207, 235, 205
12208, 235, 205
12209, 234, 204
12210, 234, 204
12211, 234, 204
12213, 234, 202
12214, 234, 202
12215, 234, 202
12216, 234, 202
12217, 234, 201
12218, 234, 201
12219, 234, 201
12220, 234, 201
12221, 234, 201
12222, 234, 200
12223, 234, 200
12225, 234, 200
12226, 234, 200
12227, 234, 200
12229, 234, 198
12230, 234, 198
12231, 234, 198
12232, 234, 198
12233, 234, 196
12234, 234, 196
12235, 234, 196
12236, 234, 196
12237, 233, 196
12238, 233, 196
12239, 233, 196
12240, 233, 195
12241, 233, 194
12242, 233, 194
12243, 233, 194
12244, 233, 194
12245, 232, 193
12246, 233, 193
12247, 233, 193
12248, 233, 193
12249, 232, 192
12250, 232, 192
12251, 232, 192
12253, 232, 191
12254, 232, 191
12255, 232, 191
12256, 232, 190
12257, 232, 190
12258, 232, 189
12259, 232, 189
12260, 232, 189
12261, 231, 189
12262, 231, 189
12263, 231, 188
12264, 231, 188
12265, 231, 187
12266, 231, 187
12267, 231, 187
12269, 231, 186
12270, 231, 186
12271, 231, 186
12272, 230, 186
12273, 231, 185
12274, 231, 185
12275, 231, 185
12277, 231, 184
12278, 231, 183
12279, 231, 183
12280, 231, 183
12281, 230, 182
12282, 230, 182
12283, 230, 182
12284, 231, 181
12285, 230, 181
12286, 230, 181
12287, 230, 181
12288, 230, 180
12289, 230, 180
12290, 230, 179
12291, 230, 179
12292, 230, 179
12293, 230, 178
12294, 230, 178
12295, 230, 178
12296, 230, 177
12297, 229, 177
12298, 229, 177
12299, 229, 177
12300, 228, 176
12301, 230, 175
12302, 230, 175
12303, 230, 175
12304, 230, 174
12305, 230, 173
12306, 230, 173
12307, 230, 173
12308, 230, 173
12309, 229, 173
12310, 229, 173
12311, 229, 173
12312, 229, 173
12313, 229, 172
12314, 229, 171
12315, 229, 171
12317, 229, 170
12318, 229, 170
12319, 229, 170
12320, 229, 169
12321, 228, 168
12322, 228, 168
12323, 228, 168
12324, 228, 168
12325, 228, 167
12326, 228, 167
12327, 228, 167
12328, 228, 166
12329, 228, 166
12330, 228, 166
12331, 228, 166
12333, 228, 166
12334, 228, 166
12335, 228, 166
12337, 227, 166
12338, 227, 166
12339, 227, 165
12341, 227, 163
12342, 227, 163
12343, 227, 163
12344, 227, 163
12345, 226, 163
12346, 226, 163
12347, 226, 162
12348, 226, 162
12349, 227, 162
12350, 227, 162
12351, 227, 162
12352, 227, 160
12353, 226, 160
12354, 226, 160
12355, 226, 160
12357, 226, 159
12358, 226, 159
12359, 226, 159
12360, 226, 158
12361, 226, 159
12362, 226, 159
12363, 226, 159
12364, 226, 158
12365, 225, 157
12366, 225, 157
12367, 225, 156
12368, 225, 156
12369, 226, 155
12370, 226, 155
12371, 226, 155
12372, 226, 155
12373, 226, 154
12374, 226, 154
12375, 226, 154
12376, 226, 154
12377, 226, 153
12378, 226, 153
12379, 226, 153
12381, 226, 152
12382, 226, 152
12383, 226, 151
12393, 228, 149
12394, 228, 149
12395, 228, 149
12397, 226, 147
12398, 226, 147
12399, 227, 147
12401, 227, 146
12402, 227, 146
12403, 227, 146
12404, 227, 145
12405, 226, 145
12406, 226, 145
12407, 226, 145
12409, 226, 144
12410, 226, 144
12411, 226, 144
12412, 226, 143
12413, 227, 142
12414, 227, 142
12415, 227, 142
12416, 227, 142
12417, 227, 141
12418, 227, 141
12419, 227, 141
12420, 227, 140
12421, 227, 139
12422, 227, 140
12423, 227, 139
12424, 227, 139
12425, 227, 139
12426, 227, 139
12427, 227, 139
12428, 227, 139
12429, 227, 137
12430, 227, 137
12431, 227, 137
12432, 227, 136
12433, 227, 136
12434, 227, 136
12435, 227, 136
12437, 227, 134
12438, 227, 134
12439, 227, 134
12440, 227, 133
12441, 227, 133
12442, 227, 133
12443, 227, 133
12444, 227, 133
12445, 227, 132
12446, 227, 131
12447, 227, 131
12448, 227, 131
12449, 226, 130
12450, 226, 130
12451, 226, 130
12452, 226, 130
12453, 227, 129
12454, 227, 129
12455, 227, 129
12456, 227, 128
12457, 227, 128
12458, 227, 128
12459, 227, 128
12460, 227, 128
12461, 227, 127
12462, 227, 127
12463, 227, 127
12465, 226, 126
12466, 226, 126
12467, 227, 126
12468, 226, 125
12469, 227, 125
12470, 227, 125
12471, 227, 124
12472, 227, 124
12473, 227, 123
12474, 227, 123
12475, 227, 123
12476, 226, 122
12477, 227, 122
12478, 227, 122
12479, 226, 122
12480, 226, 121
12481, 226, 121
12482, 226, 121
12483, 226, 121
12485, 227, 119
12486, 227, 119
12487, 228, 119
12489, 227, 119
12490, 227, 119
12491, 227, 119
12493, 228, 118
12494, 228, 118
12495, 228, 118
12496, 228, 117
12497, 228, 117
12498, 228, 117
12499, 228, 117
12501, 227, 116
12502, 227, 116
12503, 227, 116
12505, 228, 115
12506, 228, 115
12507, 228, 115
12508, 228, 115
12509, 228, 114
12510, 228, 114
12511, 228, 114
12512, 228, 113
12513, 228, 113
12514, 228, 113
12515, 228, 113
12517, 228, 113
12518, 228, 113
12519, 228, 113
12520, 228, 113
12521, 228, 111
12522, 228, 111
12523, 228, 111
12524, 229, 111
12525, 229, 110
12526, 229, 110
12527, 229, 110
12528, 229, 109
12529, 228, 108
12530, 228, 108
12531, 228, 108
12532, 228, 108
12533, 228, 107
12534, 228, 107
12535, 228, 107
12536, 228, 106
12537, 226, 105
12538, 226, 105
12539, 226, 105
12540, 226, 104
12541, 225, 104
12542, 225, 104
12543, 225, 104
12544, 225, 104
12545, 224, 102
12546, 224, 102
12547, 224, 102
12548, 224, 102
12549, 224, 100
12550, 224, 100
12551, 224, 100
12552, 224, 99
12553, 223, 99
12554, 223, 99
12555, 223, 99
12556, 223, 98
12557, 223, 98
12558, 223, 98
12559, 223, 98
12560, 222, 98
12561, 223, 97
12562, 223, 97
12563, 223, 97
12564, 222, 96
12565, 223, 96
12566, 223, 96
12567, 223, 96
12569, 224, 95
12570, 224, 95
12571, 224, 95
12572, 224, 95
12573, 223, 95
12574, 223, 95
12577, 223, 94
12578, 223, 94
12581, 223, 93
12582, 223, 93
12583, 223, 93
12584, 223, 93
12585, 223, 93
12586, 223, 93
12587, 224, 93
12588, 224, 92
12589, 224, 92
12590, 224, 92
12591, 224, 92
12597, 224, 92
12598, 224, 92
12599, 224, 92
12601, 226, 91
12602, 226, 91
12605, 226, 91
12606, 226, 91
12607, 226, 91
12608, 226, 91
12609, 226, 90
12610, 226, 90
12611, 226, 90
12613, 226, 89
12614, 226, 89
12615, 226, 89
12617, 226, 88
12618, 226, 88
12619, 226, 88
12629, 227, 87
12630, 227, 87
12631, 227, 87
12632, 227, 87
12633, 228, 87
12634, 228, 87
12635, 228, 87
12637, 228, 87
12638, 228, 87
12641, 228, 87
12642, 228, 87
12643, 228, 87
12653, 229, 85
12654, 229, 85
12655, 229, 85
12658, 229, 85
12669, 230, 84
12670, 230, 84
12671, 230, 84
12673, 231, 83
12674, 231, 83
12675, 231, 83
12676, 231, 83
12677, 231, 83
12678, 231, 83
12679, 231, 82
12689, 231, 80
12690, 231, 80
